Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
42,이성곤,23 1B,-0.045,1,0,3.0,3,3,0,0,100.0,9.0,-0.43,,0.01,,,,,,-0.42,-7.6,-0.02,-0.44,-0.043,-0.045,한화 이글스,11206
43,이명기,23 RF,-0.052,2,1,9.0,3,3,0,0,100.0,3.0,-0.38,-0.1,0.02,,,,,,-0.46,-4.76,-0.05,-0.51,-0.047,-0.052,한화 이글스,10119
44,권광민,23 LF,-0.053,27,6,97.2,20,20,0,0,100.0,1.84,-1.34,0.97,0.17,,,,,,-0.19,-0.42,-0.33,-0.52,-0.02,-0.053,한화 이글스,13676
45,박정현,23 3B,-0.056,12,6,53.0,16,9,5,2,87.5,2.38,-0.67,,0.12,,,,,,-0.55,-1.5,0.0,-0.55,-0.056,-0.056,한화 이글스,14704
46,박정현,23 1B,-0.066,8,1,16.0,13,13,0,0,100.0,7.31,-0.58,,0.03,,,,,,-0.55,-1.49,-0.1,-0.65,-0.056,-0.066,한화 이글스,14704
47,이상혁,23 CF,-0.098,2,0,6.0,2,2,0,0,100.0,3.0,-0.66,-0.31,0.01,,,,,,-0.96,-19.72,0.0,-0.96,-0.098,-0.098,한화 이글스,15139
48,유로결,23 CF,-0.105,5,3,21.0,5,5,0,0,100.0,2.14,-1.04,-0.01,0.03,,,,,,-1.03,-5.47,0.0,-1.03,-0.105,-0.105,한화 이글스,14126
49,장운호,23 RF,-0.117,3,2,22.0,5,5,0,0,100.0,2.05,-0.92,-0.19,0.04,,,,,,-1.07,-38.54,-0.08,-1.15,-0.109,-0.117,한화 이글스,11122
50,허관회,23 C,-0.136,8,0,14.2,15,14,0,1,93.3,8.59,-0.88,,0.04,,,-0.19,-0.57,,-1.43,-20.63,0.1,-1.34,-0.146,-0.136,한화 이글스,14204
51,하주석,23 SS,-0.154,23,4,84.0,36,11,23,2,94.4,3.64,-2.73,,0.2,0.38,,,,,-2.15,-12.36,0.64,-1.51,-0.219,-0.154,한화 이글스,10913
52,김건,23 1B,-0.183,1,1,9.0,4,2,1,1,75.0,3.0,-1.26,,-0.48,,,,,,-1.73,-35.66,-0.06,-1.79,-0.177,-0.183,한화 이글스,14209
53,오그레디,23 RF,-0.199,4,2,19.0,4,3,0,1,75.0,1.42,-0.93,-0.49,-0.46,,,,,,-1.89,-12.34,-0.07,-1.96,-0.192,-0.199,한화 이글스,15541
54,노수광,23 LF,-0.205,23,15,142.0,27,27,0,0,100.0,1.71,-1.48,-0.09,0.25,,,,,,-1.32,-6.33,-0.69,-2.01,-0.134,-0.205,한화 이글스,11268
55,이진영,23 CF,-0.229,31,27,195.1,56,54,2,0,100.0,2.58,-2.41,-0.09,0.25,,,,,,-2.25,-2.67,0.0,-2.25,-0.229,-0.229,한화 이글스,12539
56,장진혁,23 CF,-0.26,29,17,155.2,36,36,0,0,100.0,2.08,-2.33,-0.41,0.2,,,,,,-2.55,-5.39,0.0,-2.55,-0.26,-0.26,한화 이글스,12583
57,김인환,23 1B,-0.263,58,48,420.1,392,357,30,5,98.7,8.29,1.09,,0.27,,0.06,,,,1.42,1.83,-4.0,-2.58,0.145,-0.263,한화 이글스,12589
58,오선진,23 SS,-0.301,40,25,219.2,86,32,52,2,97.7,3.44,-3.09,,0.02,-1.72,,,,,-4.79,-7.66,1.84,-2.95,-0.488,-0.301,한화 이글스,10557
