선수,연봉(만원),WAR,WAR당 연봉,팀
김주훈,3000,,,키움 히어로즈
고영우,3000,-0.59,-5117,키움 히어로즈
김연주,3000,-0.13,-22558,키움 히어로즈
이우현,3000,,,키움 히어로즈
손현기,3000,-0.10,-29484,키움 히어로즈
이재상,3000,-1.20,-2497,키움 히어로즈
김윤하,3000,0.45,6688,키움 히어로즈
전준표,3000,-0.30,-10074,키움 히어로즈
심휘윤,3000,-0.01,-273154,키움 히어로즈
원성준,3000,-0.25,-11991,키움 히어로즈
노운현,3000,,,키움 히어로즈
주승빈,3000,,,키움 히어로즈
김동욱,3000,0.11,26713,키움 히어로즈
안겸,3000,,,키움 히어로즈
변헌성,3000,,,키움 히어로즈
이호열,3000,,,키움 히어로즈
박성빈,3000,-0.03,-101587,키움 히어로즈
우승원,3000,,,키움 히어로즈
박준형,3000,-0.25,-12108,키움 히어로즈
박윤성,3000,0.04,72014,키움 히어로즈
서유신,3000,,,키움 히어로즈
이명기,3000,,,키움 히어로즈
신효수,1500,,,키움 히어로즈
