선수,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼,팀,pid,연봉(만원),연도,포지션구분,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid_new
류희운,투수,-0.36,8,0,8,1,0,0,0,1,0,0,5.2,9,9,8.85,26,10,0,0,2,1,0,0,5,0,0,0,14.29,14.29,14.06,12.96,6.33,1.94,-0.36,KT 위즈,12655,3300,2022,투수,,,,,,,,,,,,,,,,,,,,,
수아레즈,투수,6.23,30,29,1,0,0,0,6,8,0,0,173.2,48,61,59.8,714,151,19,0,7,50,4,0,159,16,0,6,2.49,3.16,3.1,3.09,2.94,1.16,6.23,삼성 라이온즈,15001,70000,2022,투수,,,,,,,,,,,,,,,,,,,,,
뷰캐넌,투수,5.47,26,26,0,1,1,1,11,8,0,0,160.0,54,61,60.3,691,176,29,2,10,39,8,0,117,6,0,2,3.04,3.43,3.39,3.22,3.61,1.34,5.47,삼성 라이온즈,14617,110000,2022,투수,,,,,,,,,,,,,,,,,,,,,
원태인,투수,4.37,27,27,0,0,0,0,10,8,0,0,165.1,72,75,73.3,700,175,25,1,16,38,4,3,130,8,0,3,3.92,4.08,3.99,3.86,3.72,1.29,4.37,삼성 라이온즈,14113,30000,2022,투수,,,,,,,,,,,,,,,,,,,,,
오승환,투수,1.54,57,0,57,47,0,0,6,2,31,2,57.0,21,23,25.2,239,59,9,1,8,13,1,0,51,4,0,1,3.32,3.63,3.98,3.75,3.98,1.26,1.54,삼성 라이온즈,10367,160000,2022,투수,,,,,,,,,,,,,,,,,,,,,
백정현,투수,1.51,24,24,0,0,0,0,4,13,0,0,124.2,73,76,73.75,562,154,27,2,22,37,9,1,70,9,0,9,5.27,5.49,5.32,5.2,5.62,1.53,1.51,삼성 라이온즈,10363,80000,2022,투수,,,,,,,,,,,,,,,,,,,,,
홍정우,투수,0.67,26,0,26,4,0,0,5,2,0,1,26.2,9,10,10.7,111,19,6,0,3,13,0,4,20,1,0,0,3.04,3.38,3.61,3.42,4.53,1.2,0.67,삼성 라이온즈,13242,5300,2022,투수,,,,,,,,,,,,,,,,,,,,,
이승현,투수,0.66,54,0,54,8,0,0,0,2,0,13,50.0,26,26,26.4,217,48,14,1,5,22,3,1,39,0,0,0,4.68,4.68,4.75,4.64,4.51,1.4,0.66,삼성 라이온즈,10527,10000,2022,투수,,,,,,,,,,,,,,,,,,,,,
우규민,투수,0.57,60,0,60,7,0,0,4,3,1,16,47.0,17,21,25.8,201,55,11,0,3,6,4,2,31,6,1,0,3.26,4.02,4.94,4.72,3.42,1.3,0.57,삼성 라이온즈,10523,20000,2022,투수,,,,,,,,,,,,,,,,,,,,,
문용익,투수,0.42,39,0,39,11,0,0,1,2,1,2,37.2,14,20,20.85,163,31,5,0,2,22,2,0,23,2,0,2,3.35,4.78,4.98,4.84,4.86,1.41,0.42,삼성 라이온즈,12885,4500,2022,투수,,,,,,,,,,,,,,,,,,,,,
이승현,투수,0.25,58,0,58,12,0,0,2,4,1,14,47.2,24,28,28.9,212,43,10,1,5,21,3,2,57,5,0,6,4.53,5.29,5.46,5.26,3.47,1.34,0.25,삼성 라이온즈,14798,5500,2022,투수,,,,,,,,,,,,,,,,,,,,,
최하늘,투수,0.22,14,5,9,4,0,0,1,4,0,1,33.2,23,23,22.25,156,42,4,1,5,15,2,0,18,0,1,0,6.15,6.15,5.95,5.6,5.78,1.69,0.22,삼성 라이온즈,13152,3000,2022,투수,,,,,,,,,,,,,,,,,,,,,
이승민,투수,0.21,2,0,2,0,0,0,0,0,0,0,5.1,1,1,1.0,23,2,1,0,0,5,0,0,2,0,0,0,1.69,1.69,1.69,1.57,5.75,1.31,0.21,삼성 라이온즈,14616,4100,2022,투수,,,,,,,,,,,,,,,,,,,,,
박주혁,투수,0.17,8,0,8,6,0,0,0,0,0,0,6.2,1,3,2.15,29,5,0,0,1,4,0,0,3,0,0,1,1.35,4.05,2.9,2.76,6.3,1.35,0.17,삼성 라이온즈,14668,3300,2022,투수,,,,,,,,,,,,,,,,,,,,,
김대우,투수,0.16,4,0,4,1,0,0,1,0,0,0,4.1,1,1,1.0,16,4,0,0,0,0,0,0,5,0,0,0,2.08,2.08,2.08,2.33,0.9,0.92,0.16,삼성 라이온즈,10685,12000,2022,투수,,,,,,,,,,,,,,,,,,,,,
허윤동,투수,0.15,12,12,0,0,0,0,4,3,0,0,55.0,40,43,40.05,264,64,13,0,8,34,6,0,36,1,0,2,6.55,7.04,6.55,6.26,6.13,1.78,0.15,삼성 라이온즈,14613,4700,2022,투수,,,,,,,,,,,,,,,,,,,,,
최충연,투수,0.11,38,0,38,13,0,0,0,1,0,0,38.1,20,24,25.25,177,39,10,1,3,20,5,3,29,5,0,3,4.7,5.63,5.93,5.82,4.6,1.54,0.11,삼성 라이온즈,12530,4500,2022,투수,,,,,,,,,,,,,,,,,,,,,
김윤수,투수,0.1,37,1,36,5,0,0,3,3,0,3,35.0,23,29,22.95,168,39,9,0,2,22,2,1,32,5,0,6,5.91,7.46,5.9,5.59,4.22,1.74,0.1,삼성 라이온즈,13162,6500,2022,투수,,,,,,,,,,,,,,,,,,,,,
장필준,투수,0.02,19,1,18,1,0,0,0,3,0,0,30.0,19,20,20.35,139,38,11,1,1,15,3,2,17,1,0,1,5.7,6.0,6.11,5.87,4.42,1.77,0.02,삼성 라이온즈,11404,12000,2022,투수,,,,,,,,,,,,,,,,,,,,,
이수민,투수,0.01,4,0,4,0,0,0,0,0,0,0,4.2,3,3,3.0,23,3,0,0,1,5,1,0,2,1,0,0,5.79,5.79,5.79,6.19,9.25,1.71,0.01,삼성 라이온즈,11196,3300,2022,투수,,,,,,,,,,,,,,,,,,,,,
노성호,투수,-0.01,3,0,3,0,0,0,0,0,0,0,2.0,1,1,1.5,11,2,0,0,0,3,0,0,2,0,0,0,4.5,4.5,6.75,6.28,5.93,2.5,-0.01,삼성 라이온즈,11144,5800,2022,투수,,,,,,,,,,,,,,,,,,,,,
