팀,선수,WAR,연봉등급,pid,연도
한화 이글스,한지윤,-,E,16303,2025
한화 이글스,권민규,-0.03,E,16302,2025
한화 이글스,정우주,0.08,E,16301,2025
한화 이글스,배승수,-,E,16304,2025
한화 이글스,박상현,-,E,16306,2025
한화 이글스,이민재,-0.17,E,16311,2025
한화 이글스,최주원,-,E,16310,2025
한화 이글스,엄요셉,-,E,16309,2025
한화 이글스,엄상현,-,E,16308,2025
한화 이글스,이지성,-,E,16307,2025
한화 이글스,이동영,-,E,16305,2025
한화 이글스,이승현,0.13,E,16372,2025
한화 이글스,박준영,-,E,15014,2025
한화 이글스,안진,-,E,14876,2025
한화 이글스,문승진,-,E,14874,2025
한화 이글스,유민,-,E,15016,2025
한화 이글스,이성민,-,E,15019,2025
한화 이글스,정이황,-,E,14127,2025
한화 이글스,김범준,-,E,14710,2025
한화 이글스,원종혁,-0.04,E,16114,2025
한화 이글스,최준서,-,E,16112,2025
한화 이글스,이기창,-,E,16111,2025
한화 이글스,정안석,-,E,16109,2025
한화 이글스,한서구,-,E,15426,2025
한화 이글스,성지훈,-,E,15631,2025
한화 이글스,신우재,-,E,16011,2025
한화 이글스,박부성,-,E,16373,2025
한화 이글스,양선률,-,E,14682,2025
LG 트윈스,오스틴,3.05,A,15532,2025
LG 트윈스,박동원,4.38,A,10387,2025
LG 트윈스,에르난데스,0.92,A,16160,2025
LG 트윈스,치리노스,2.69,A,16286,2025
LG 트윈스,홍창기,0.73,B,12546,2025
LG 트윈스,박해민,3.29,B,11190,2025
LG 트윈스,김현수,2.43,B,10187,2025
LG 트윈스,문보경,3.58,B,14137,2025
LG 트윈스,김진성,-0.04,B,11166,2025
LG 트윈스,오지환,1.32,B,10475,2025
LG 트윈스,이정용,0.22,C,14134,2025
LG 트윈스,유영찬,-0.08,C,14669,2025
LG 트윈스,임찬규,3.36,C,10652,2025
LG 트윈스,함덕주,-0.04,C,11094,2025
LG 트윈스,장현식,0.92,C,11164,2025
LG 트윈스,신민재,1.20,C,13056,2025
LG 트윈스,정우영,-0.07,C,14136,2025
LG 트윈스,문성주,2.26,C,13112,2025
LG 트윈스,손주영,1.59,C,12908,2025
LG 트윈스,구본혁,2.41,C,14140,2025
LG 트윈스,최채흥,-0.18,C,13156,2025
LG 트윈스,김유영,-0.11,C,11229,2025
LG 트윈스,이우찬,0.38,C,10749,2025
LG 트윈스,김강률,0.32,C,10690,2025
LG 트윈스,이지강,-0.12,D,14143,2025
LG 트윈스,심창민,-,D,10720,2025
LG 트윈스,김준태,-,D,10835,2025
LG 트윈스,김대현,-,D,12532,2025
LG 트윈스,천성호,1.19,D,14606,2025
LG 트윈스,백승현,0.33,D,13009,2025
LG 트윈스,이영빈,-0.01,D,14783,2025
LG 트윈스,박명근,0.16,D,15486,2025
LG 트윈스,김민수,-0.04,D,12931,2025
LG 트윈스,안익훈,-,D,11347,2025
LG 트윈스,김범석,-,E,15484,2025
LG 트윈스,배재준,0.02,E,12697,2025
LG 트윈스,최승민,-0.02,E,14187,2025
LG 트윈스,김영준,-,E,13102,2025
LG 트윈스,이종준,-,E,14651,2025
LG 트윈스,최원영,0.60,E,15084,2025
LG 트윈스,우강훈,-0.01,E,14816,2025
LG 트윈스,김진수,-,E,14781,2025
LG 트윈스,송승기,2.80,E,14846,2025
LG 트윈스,정지헌,-,E,16017,2025
LG 트윈스,송찬의,0.43,E,13109,2025
LG 트윈스,김주성,0.11,E,12545,2025
LG 트윈스,성동현,-0.21,E,13103,2025
LG 트윈스,진우영,-,E,16015,2025
LG 트윈스,허준혁,-,E,15083,2025
LG 트윈스,이주헌,0.72,E,15081,2025
LG 트윈스,김성진,-,E,14141,2025
LG 트윈스,김현종,-,E,16013,2025
LG 트윈스,함창건,0.19,E,14680,2025
LG 트윈스,손용준,-0.22,E,16014,2025
LG 트윈스,문정빈,0.14,E,15086,2025
LG 트윈스,김수인,-,E,14675,2025
LG 트윈스,김성우,0.01,E,15085,2025
LG 트윈스,김의준,-,E,13108,2025
