Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
백승민,21 1B,,3,0,5.0,3,3,0,0,100.0,5.4,-0.43,,0.0,,,,,,-0.42,-15.3,,,-0.042,132413
김윤수,21 P,,20,1,19.0,3,1,2,0,100.0,1.42,,,,,,,,,0.0,0.0,,,0.0,131623
이재원,21 C,0.749,104,80,678.2,596,551,38,7,98.8,7.81,-0.34,,-0.8,,-0.04,0.83,1.09,,0.4,0.54,7.15,7.56,0.04,100824
최정,21 3B,0.304,128,124,1029.0,304,83,209,12,96.1,2.55,1.59,,0.27,0.98,0.23,,,,3.07,3.3,0.0,3.07,0.304,101064
이현석,21 C,0.295,38,25,220.0,201,184,15,2,99.0,8.14,0.56,,-0.29,,0.08,0.81,-0.32,,0.93,3.44,2.04,2.97,0.093,113694
이흥련,21 C,0.154,87,38,369.0,324,301,22,1,99.7,7.88,-0.26,,0.69,,-0.04,-1.59,-0.82,,-1.76,-2.82,3.31,1.55,-0.175,111084
서진용,21 P,0.0,65,0,67.1,7,2,5,0,100.0,0.94,,,,,,,,,0.0,0.0,0.0,0.0,0.0,107844
정진기,21 CF,-0.014,2,2,14.0,5,3,1,1,80.0,2.57,0.12,0.23,-0.48,,,,,,-0.14,-0.23,0.0,-0.14,-0.014,107174
정상호,21 C,-0.043,3,1,9.0,5,4,0,1,80.0,4.0,0.0,,-0.47,,,-0.04,0.05,,-0.48,-22.93,0.05,-0.43,-0.047,100834
남태혁,21 1B,-0.105,6,3,23.0,23,21,0,2,91.3,8.22,-0.65,,-0.48,,0.31,,,,-0.82,-9.87,-0.24,-1.06,-0.082,125214
고종욱,21 LF,-0.506,40,33,214.0,29,27,1,1,96.6,1.18,-5.16,1.47,-0.31,,,,,,-4.0,-6.54,-1.11,-5.11,-0.396,106594
추신수,21 RF,-0.592,47,47,372.1,80,79,0,1,98.8,1.91,-3.29,-1.02,0.51,,,,,,-3.8,-3.99,-2.18,-5.98,-0.376,148884
로맥,21 1B,-0.764,100,93,770.0,733,690,41,2,99.7,8.54,-0.16,,0.64,,-0.22,,,,0.26,0.34,-7.96,-7.7,0.025,129914
김택형,21 P,,58,0,75.1,21,6,14,1,95.2,2.39,,,,,,,,,0.0,0.0,,,0.0,113734
신재영,21 P,,20,1,28.1,5,3,2,0,100.0,1.59,,,,,,,,,0.0,0.0,,,0.0,111494
장지훈,21 P,,60,0,80.1,22,2,18,2,90.9,2.24,,,,,,,,,0.0,0.0,,,0.0,148044
박민호,21 P,,40,0,41.0,7,2,5,0,100.0,1.54,,,,,,,,,0.0,0.0,,,0.0,112364
서동민,21 P,,20,0,26.1,5,1,4,0,100.0,1.71,,,,,,,,,0.0,0.0,,,0.0,131914
고명준,21 1B,,1,0,1.0,2,1,1,0,100.0,18.0,0.47,,0.0,,,,,,0.47,22.46,,,0.046,148074
김상수,21 P,,50,0,58.1,15,4,11,0,100.0,2.31,,,,,,,,,0.0,0.0,,,0.0,104274
김태훈,21 P,,62,0,58.0,6,0,4,2,66.7,0.62,,,,,,,,,0.0,0.0,,,0.0,101334
정수민,21 P,,10,7,30.1,4,1,2,1,75.0,0.89,,,,,,,,,0.0,0.0,,,0.0,125614
하재훈,21 P,,18,0,18.0,5,2,3,0,100.0,2.5,,,,,,,,,0.0,0.0,,,0.0,141474
조요한,21 P,,6,0,7.0,2,1,1,0,100.0,2.57,,,,,,,,,0.0,0.0,,,0.0,148584
