Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
32,정대선,23 2B,-0.54,19,-0.36,-0.18,47,46,40,5,6,1,0,0,7,6,0,0,2,2,0,8,0,1,2,0.15,0.217,0.175,0.392,0.002,2.0,-0.54,롯데 자이언츠,15443
33,한동희,23 3B,-1.81,108,-0.94,-0.88,353,351,319,30,71,11,0,5,97,32,1,3,26,1,0,58,16,2,5,0.223,0.279,0.304,0.583,0.067,55.5,-1.81,롯데 자이언츠,13145
1,박찬호,23 SS,4.09,130,3.64,0.46,507,500,452,73,136,18,4,3,171,52,30,8,40,2,0,56,13,7,6,0.301,0.356,0.378,0.734,0.127,109.5,4.09,KIA 타이거즈,11261
2,소크라테스,23 CF,3.88,142,3.51,0.37,608,606,547,91,156,31,3,20,253,96,15,6,52,1,4,80,13,0,8,0.285,0.344,0.463,0.807,0.144,125.0,3.88,KIA 타이거즈,14996
3,최형우,23 DH,3.73,121,4.11,-0.38,508,508,431,64,130,27,1,17,210,81,0,0,65,8,1,83,5,0,4,0.302,0.4,0.487,0.887,0.183,159.4,3.73,KIA 타이거즈,10344
4,김도영,23 3B,3.64,84,3.14,0.5,385,382,340,72,103,20,5,7,154,47,25,4,38,1,1,62,14,2,4,0.303,0.371,0.453,0.824,0.156,134.4,3.64,KIA 타이거즈,15056
5,나성범,23 RF,3.57,58,3.88,-0.31,253,253,222,51,81,12,1,18,149,57,0,0,26,1,0,36,1,0,4,0.365,0.427,0.671,1.098,0.243,209.8,3.57,KIA 타이거즈,11162
6,김선빈,23 2B,2.62,119,2.83,-0.21,473,465,419,41,134,16,0,0,150,48,3,1,38,5,0,26,10,8,3,0.32,0.381,0.358,0.739,0.132,114.9,2.62,KIA 타이거즈,10008
7,이우성,23 RF,2.3,126,1.92,0.38,400,393,355,39,107,17,0,8,148,58,8,1,31,5,4,81,10,6,3,0.301,0.363,0.417,0.78,0.141,122.4,2.3,KIA 타이거즈,11099
8,이창진,23 LF,1.36,104,1.37,-0.01,284,282,244,35,66,11,3,4,95,29,9,2,34,2,1,44,6,2,2,0.27,0.362,0.389,0.751,0.135,117.7,1.36,KIA 타이거즈,11233
9,고종욱,23 LF,0.56,114,0.68,-0.12,286,286,270,35,80,17,0,3,106,39,2,2,14,0,0,58,3,0,2,0.296,0.329,0.393,0.722,0.115,99.6,0.56,KIA 타이거즈,10659
10,한준수,23 C,0.52,48,0.32,0.2,94,93,86,9,22,4,0,2,32,12,0,0,7,0,0,26,2,1,0,0.256,0.312,0.372,0.684,0.104,89.2,0.52,KIA 타이거즈,13113
11,김규성,23 2B,0.52,99,0.32,0.2,177,172,158,29,37,6,1,2,51,11,6,2,13,1,0,43,2,5,0,0.234,0.297,0.323,0.62,0.083,71.8,0.52,KIA 타이거즈,12540
12,최원준,23 1B,0.35,67,0.45,-0.1,274,270,239,37,61,11,2,1,79,23,13,5,31,0,0,39,5,4,0,0.255,0.341,0.331,0.672,0.109,94.2,0.35,KIA 타이거즈,12534
13,박정우,23 RF,0.24,21,0.03,0.2,12,9,9,2,3,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0.333,0.333,0.333,0.666,0.093,80.3,0.24,KIA 타이거즈,12869
14,김호령,23 CF,0.19,76,-0.36,0.55,107,104,95,16,17,7,0,0,24,6,1,0,8,1,0,38,1,3,0,0.179,0.25,0.253,0.503,0.043,37.8,0.19,KIA 타이거즈,11298
