선수,연봉(만원),WAR,WAR당 연봉,팀,pid
김찬형,5800,0.55,10607,SSG 랜더스,12622
신재웅,5500,0.10,55790,SSG 랜더스,10921
김정빈,4000,-0.30,-13465,SSG 랜더스,11364
정수민,3600,0.10,35776,SSG 랜더스,12561
조영우,3300,0.57,5809,SSG 랜더스,11284
유서준,3100,-0.03,-95862,SSG 랜더스,11240
권혁찬,3000,-,-,SSG 랜더스,14860
양선률,3000,-0.06,-49280,SSG 랜더스,14682
길지석,3000,-,-,SSG 랜더스,14685
박형준,3000,-,-,SSG 랜더스,14861
박시후,3000,-,-,SSG 랜더스,14687
박제범,3000,-,-,SSG 랜더스,14859
조요한,3000,-0.01,-275333,SSG 랜더스,14858
박정빈,3000,-,-,SSG 랜더스,14862
장우준,3000,-,-,SSG 랜더스,14857
전의산,3000,-,-,SSG 랜더스,14699
이재성,3000,-,-,SSG 랜더스,14684
김건우,3000,0.25,12090,SSG 랜더스,14803
장지훈,3000,1.33,2248,SSG 랜더스,14804
