Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
32,김세훈,24 SS,-0.037,7,1,16.0,4,4,0,0,1.0,2.25,-0.09,0.0,0.12,-0.48,0.0,,0.0,0.0,-0.45,-9.257,0.049,-0.401,-0.041,160585
25,한재환,24 1B,-0.032,4,0,5.0,3,3,0,0,1.0,5.4,-0.01,0.0,0.03,0.0,0.0,,0.0,0.0,-0.33,-11.88,-0.015,-0.345,-0.03,146595
37,박영빈,24 LF,-0.23,11,0,18.0,1,1,0,0,1.0,0.5,-2.53,0.03,0.02,0.0,0.0,,0.0,0.0,-2.47,-32.335,-0.049,-2.519,-0.226,146615
1,강승호,24 2B,0.99,156,131,1131.0,677,360,304,13,0.981,5.284,7.05,0.0,0.16,-0.06,0.0,,0.0,0.0,7.21,6.655,3.624,10.834,0.659,110871
49,문보경,24 3B,-0.125,181,132,1155.0,450,235,202,13,0.971,3.405,-1.31,0.0,1.06,-0.63,0.0,,0.0,0.0,-0.94,-0.748,-0.431,-1.371,-0.086,141376
47,박건우,24 RF,-0.538,71,69,537.0,112,108,3,1,0.991,1.86,-4.14,-0.25,1.11,0.0,0.0,,0.0,0.0,-3.28,-6.652,-2.605,-5.885,-0.3,101895
13,서호철,24 3B,0.16,141,124,1053.0,357,134,209,14,0.961,2.932,1.95,0.0,0.53,-0.8,0.0,,0.0,0.0,1.47,1.501,0.278,1.748,0.134,142205
9,박시원,24 CF,-0.222,51,31,311.0,80,73,5,2,0.975,2.257,-2.41,0.51,-0.22,0.0,0.0,,0.0,0.0,-2.12,-5.986,-0.311,-2.431,-0.194,145975
6,손아섭,24 RF,0.259,29,26,195.0,50,50,0,0,1.0,2.308,3.06,-0.1,0.46,0.0,0.0,,0.0,0.0,3.44,17.081,-0.608,2.832,0.314,102615
15,양찬열,24 RF,0.066,10,2,34.0,4,4,0,0,1.0,1.059,0.74,-0.03,0.09,0.0,0.0,,0.0,0.0,0.8,11.52,-0.073,0.727,0.073,147381
3,박준영,24 SS,0.889,66,52,461.0,229,87,138,4,0.983,4.393,3.22,0.0,2.04,1.03,0.0,,0.0,0.0,6.35,13.855,3.385,9.735,0.58,125221
18,서예일,24 3B,0.088,19,2,52.0,15,3,11,1,0.933,2.423,1.39,0.0,-0.14,-0.29,0.0,,0.0,0.0,0.96,7.276,0.004,0.964,0.088,125231
45,김범석,24 1B,-0.163,39,21,178.0,179,162,14,3,0.983,8.899,0.45,0.0,-0.69,0.0,-0.26,,-1.26,0.0,-1.14,-4.209,-0.647,-1.787,-0.104,154846
52,김현수,24 LF,-0.703,91,80,617.0,127,123,4,0,1.0,1.853,-4.09,-1.32,0.74,0.0,0.0,,0.0,0.0,-4.66,-7.374,-3.037,-7.697,-0.426,101876
44,김인태,24 LF,-0.167,8,6,44.0,7,7,0,0,1.0,1.432,-2.2,0.48,0.06,0.0,0.0,,0.0,0.0,-1.66,-29.88,-0.162,-1.822,-0.152,110981
41,김성진,24 1B,-0.078,9,2,15.0,9,9,0,0,1.0,5.4,-0.84,0.0,0.08,0.0,0.0,,0.0,0.0,-0.76,-12.16,-0.089,-0.849,-0.069,141416
17,홍창기,24 RF,0.019,139,129,1098.0,288,271,7,10,0.965,2.279,6.39,0.73,-1.76,0.0,0.0,,0.0,0.0,5.37,5.563,-5.162,0.208,0.491,125466
23,신민재,24 2B,0.024,125,113,987.0,567,257,299,11,0.981,5.07,-3.68,0.0,0.43,-1.05,0.0,,0.0,0.0,-4.3,-4.954,4.563,0.263,-0.393,130566
24,함창건,24 LF,0.004,6,3,23.0,5,5,0,0,1.0,1.957,0.11,-0.05,0.03,0.0,0.0,,0.0,0.0,0.09,2.16,-0.047,0.043,0.008,146806
44,김도영,24 3B,-0.397,135,132,1113.0,323,77,216,30,0.907,2.369,2.45,0.0,-6.91,-0.06,0.0,,0.0,0.0,-4.34,-4.629,0.0,-4.34,-0.397,150560
40,김두현,24 SS,-0.248,3,2,15.0,8,2,4,2,0.75,3.6,-1.93,0.0,-0.89,0.05,0.0,,0.0,0.0,-2.76,-132.48,0.047,-2.713,-0.252,160860
31,최정용,24 2B,-0.09,6,2,24.0,8,3,4,1,0.875,2.625,-0.69,0.0,-0.35,0.0,0.0,,0.0,0.0,-1.05,-25.2,0.06,-0.99,-0.096,114070
46,변우혁,24 1B,-0.256,68,43,388.0,312,283,26,3,0.99,7.168,-1.24,0.0,0.56,0.32,0.0,,0.0,0.0,-0.64,-1.355,-2.167,-2.807,-0.058,141240
63,이선우,24 CF,-0.196,3,0,3.0,2,1,0,1,0.5,3.0,-1.67,0.01,-0.5,0.0,0.0,,0.0,0.0,-2.14,-102.72,0.0,-2.14,-0.196,160952
38,이정훈,24 LF,-0.055,2,0,3.0,1,1,0,0,1.0,3.0,-0.37,0.1,0.0,0.0,0.0,,-0.49,0.0,-0.6,-43.2,-0.005,-0.605,-0.055,129162
47,서건창,24 1B,-0.213,85,43,434.0,361,275,81,5,0.986,7.382,-0.91,0.0,-0.19,0.22,0.0,,0.0,0.0,-1.03,-1.745,-1.304,-2.334,-0.094,108550
63,이인한,24 LF,0.0,3,0,4.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146902
50,이학주,24 SS,-0.179,43,27,244.0,107,38,67,2,0.981,3.873,-3.86,0.0,1.15,-1.16,0.0,,0.0,0.0,-3.88,-12.993,1.916,-1.964,-0.354,141142
24,이창용,24 1B,-0.031,7,5,41.0,33,29,3,1,0.97,7.024,0.24,0.0,-0.29,0.0,0.0,,0.0,0.0,-0.05,-1.029,-0.291,-0.341,-0.005,148663
51,김재성,24 C,-0.179,8,3,34.0,27,23,3,1,0.963,6.882,-0.56,0.0,-0.38,0.0,-0.82,,-0.75,0.0,-2.22,-39.96,0.261,-1.959,-0.203,113443
17,양우현,24 2B,0.167,6,4,34.0,19,8,11,0,1.0,5.029,1.08,0.0,0.2,0.43,0.0,,0.0,0.0,1.72,41.28,0.108,1.828,0.157,141163
16,김태훈,24 RF,0.087,7,2,31.0,6,6,0,0,1.0,1.742,0.64,0.32,0.07,0.0,0.0,,0.0,0.0,1.03,21.189,-0.073,0.957,0.094,113363
70,구자욱,24 LF,-0.292,104,102,839.0,206,201,4,1,0.995,2.199,1.18,-0.74,0.52,0.0,0.0,,0.0,0.0,0.97,1.343,-4.171,-3.201,0.089,108923
