선수,연봉(만원),팀,pid,연도,팀연봉순위,전체연봉순위,계약금(만원),계약금(만원)분할,연봉 총수령액(만원)
박주성,3000,키움 히어로즈,14130,2021,54,618,0,0,3000
박주혁,3100,삼성 라이온즈,14668,2021,67,573,0,0,3100
박주현,3500,키움 히어로즈,11375,2021,49,491,0,0,3500
박주홍,3000,키움 히어로즈,14580,2021,54,618,0,0,3000
박주홍,3300,한화 이글스,13136,2021,49,521,0,0,3300
박준범,3000,한화 이글스,14702,2021,66,618,0,0,3000
박준영,3200,NC 다이노스,12522,2021,49,544,0,0,3200
박준태,11000,키움 히어로즈,11260,2021,20,197,0,0,11000
박준표,16000,KIA 타이거즈,11070,2021,8,152,0,0,16000
박준형,3000,키움 히어로즈,14211,2021,54,618,0,0,3000
박준호,3000,KT 위즈,14190,2021,67,618,0,0,3000
박지한,3000,NC 다이노스,14650,2021,55,618,0,0,3000
박지훈,3100,두산 베어스,14736,2021,55,573,0,0,3100
박진우,11500,NC 다이노스,11358,2021,23,195,0,0,11500
박진태,5000,KIA 타이거즈,12913,2021,42,401,0,0,5000
박진형,12000,롯데 자이언츠,11425,2021,16,185,0,0,12000
박찬호,10000,KIA 타이거즈,11261,2021,16,218,0,0,10000
박치국,16000,두산 베어스,12850,2021,15,152,0,0,16000
박한결,3100,한화 이글스,11420,2021,61,573,0,0,3100
박해민,38000,삼성 라이온즈,11190,2021,10,77,0,0,38000
박형준,7000,SSG 랜더스,14861,2021,31,305,0,0,7000
배동현,9000,한화 이글스,14809,2021,19,249,0,0,9000
배민서,3100,NC 다이노스,14158,2021,51,573,0,0,3100
배성근,3200,롯데 자이언츠,13279,2021,52,544,0,0,3200
배재준,3000,LG 트윈스,12697,2021,69,618,0,0,3000
배정대,14000,KT 위즈,11212,2021,17,167,0,0,14000
배제성,17000,KT 위즈,11394,2021,14,143,0,0,17000
백동훈,3600,두산 베어스,11084,2021,45,486,0,0,3600
백미카엘,3000,KIA 타이거즈,13120,2021,70,618,0,0,3000
백민규,3000,두산 베어스,12893,2021,64,618,0,0,3000
백선기,2700,KT 위즈,13174,2021,79,809,0,0,2700
백승민,4700,삼성 라이온즈,13241,2021,50,425,0,0,4700
백승현,4000,LG 트윈스,13009,2021,51,455,0,0,4000
백용환,4000,한화 이글스,10003,2021,38,455,0,0,4000
백정현,25500,삼성 라이온즈,10363,2021,14,104,0,0,25500
백종수,3000,두산 베어스,14839,2021,64,618,0,0,3000
백현종,3000,KIA 타이거즈,14673,2021,70,618,0,0,3000
변상권,3500,키움 히어로즈,13223,2021,49,491,0,0,3500
변시원,4000,KIA 타이거즈,10882,2021,49,455,0,0,4000
보어,45500,LG 트윈스,14988,2021,6,66,0,0,45500
봉민호,3000,삼성 라이온즈,13190,2021,74,618,0,0,3000
뷰캐넌,130000,삼성 라이온즈,14617,2021,1,11,0,0,130000
브룩스,156000,KIA 타이거즈,14610,2021,1,5,0,0,156000
브리검,62400,키움 히어로즈,12992,2021,6,49,0,0,62400
서건창,22500,LG 트윈스,10855,2021,14,114,0,0,22500
서균,3700,한화 이글스,11271,2021,41,478,0,0,3700
서덕원,3100,KIA 타이거즈,12538,2021,66,573,0,0,3100
서동민,3000,SSG 랜더스,13191,2021,45,618,0,0,3000
서예일,3500,두산 베어스,12523,2021,46,491,0,0,3500
