,Unnamed: 0,선수,팀,G,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
74,74,오선우,KIA 타이거즈,6,4,33.1,-0.056,16.0,15.0,1.0,0.0,100.0,4.32,-1.06,0.6,0.03,,,,,,-0.44,-6.99,-0.13,-0.57,-0.043,141810,2021,14181,1루수,3400.0,58.0,509.0,0.0,3400.0
75,75,김석환,KIA 타이거즈,4,4,35.0,-0.243,42.0,40.0,0.0,2.0,95.2,10.29,-2.14,,0.03,,,,,,-2.11,-60.9,-0.34,-2.45,-0.21,129170,2021,12917,좌익수,3000.0,70.0,618.0,0.0,3000.0
76,76,유민상,KIA 타이거즈,15,14,118.0,-0.272,113.0,106.0,7.0,0.0,100.0,8.62,-1.68,,0.1,,,,,,-1.58,-9.5,-1.16,-2.74,-0.157,108950,2021,10895,1루수,10500.0,14.0,214.0,0.0,10500.0
77,77,나지완,KIA 타이거즈,24,23,176.0,-0.565,38.0,38.0,0.0,0.0,100.0,1.94,-4.7,-0.24,0.16,,,,,,-4.78,-22.2,-0.92,-5.7,-0.474,100300,2021,10030,좌익수,40000.0,6.0,71.0,0.0,40000.0
78,78,황대인,KIA 타이거즈,71,64,546.0,-0.925,532.0,502.0,27.0,3.0,99.4,8.72,-3.87,,-0.55,,0.37,,,,-4.05,-6.78,-5.28,-9.33,-0.401,113060,2021,11306,1루수,4300.0,47.0,444.0,0.0,4300.0
79,79,이의리,KIA 타이거즈,19,19,94.2,,10.0,3.0,6.0,1.0,90.0,0.86,,,,,,,,,0.0,,,,0.0,147880,2021,14788,투수,33000.0,7.0,81.0,0.0,33000.0
80,80,정해영,KIA 타이거즈,64,0,65.1,,14.0,3.0,10.0,1.0,92.9,1.79,,,,,,,,,0.0,0.0,,,0.0,146080,2021,14608,투수,7000.0,32.0,305.0,0.0,7000.0
81,81,장현식,KIA 타이거즈,69,0,76.2,,11.0,1.0,9.0,1.0,90.9,1.17,,,,,,,,,0.0,0.0,,,0.0,111640,2021,11164,투수,10500.0,14.0,214.0,0.0,10500.0
82,82,이준영,KIA 타이거즈,47,1,35.2,,7.0,1.0,6.0,0.0,100.0,1.77,,,,,,,,,0.0,,,,0.0,113030,2021,11303,투수,6000.0,35.0,348.0,0.0,6000.0
83,83,장성우,KT 위즈,110,97,813.1,0.72,748.0,698.0,43.0,7.0,99.1,8.2,-0.31,,-0.37,,-0.37,-0.84,-0.74,,-2.41,-2.73,9.67,7.26,-0.239,102358,2021,10235,포수,21000.0,10.0,116.0,0.0,21000.0
84,84,배정대,KT 위즈,144,139,1189.1,0.365,318.0,308.0,7.0,3.0,99.1,2.38,2.41,1.55,-0.28,,,,,,3.68,3.68,0.0,3.68,0.365,112128,2021,11212,중견수,14000.0,17.0,167.0,0.0,14000.0
