선수,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,TBF,H,2B,3B,HR,BB,HP,SO,BK,WP,ERA,FIP,WHIP,WAR,팀,pid,연도,연봉(만원),신인여부,국적,선발투수,연봉등급
박영현,68,0,68,11,0,0,3,3,4,32,75.1,23,25,308,63,11,2,3,23,2,79,2,1,2.75,2.65,1.14,2.69,KT 위즈,15089,2024,16000,False,내국인,0,B
손동현,64,0,64,11,0,0,8,5,1,15,73.2,28,31,301,68,11,0,5,20,2,40,0,2,3.42,4.23,1.19,2.07,KT 위즈,14108,2024,12000,False,내국인,0,B
이상동,36,0,36,9,0,0,4,1,0,1,40.2,18,19,179,45,10,0,4,15,0,43,0,1,3.98,3.44,1.48,0.83,KT 위즈,14109,2024,6000,False,내국인,0,C
주권,42,3,39,8,0,0,1,2,0,5,47.0,23,23,205,49,7,1,4,19,2,17,0,0,4.4,5.28,1.45,0.41,KT 위즈,11323,2024,20000,False,내국인,0,B
이선우,22,4,18,8,0,0,0,2,0,0,37.1,18,20,169,47,6,0,5,9,4,24,0,0,4.34,4.92,1.5,0.35,KT 위즈,14111,2024,4000,False,내국인,0,D
전용주,15,0,15,4,0,0,0,1,0,1,10.1,5,5,43,6,4,0,0,6,1,9,0,4,4.35,3.77,1.16,0.34,KT 위즈,14106,2024,3200,False,내국인,0,D
김영현,31,0,31,7,0,0,0,0,1,1,33.0,20,22,150,30,7,0,4,20,1,35,0,2,5.45,4.61,1.52,0.3,KT 위즈,14869,2024,4100,False,내국인,0,D
강건,4,0,4,3,0,0,0,0,1,0,6.2,1,1,28,4,2,0,0,3,0,8,0,1,1.35,2.24,1.05,0.22,KT 위즈,15527,2024,3500,False,내국인,0,D
박세진,16,0,16,3,0,0,0,1,0,1,11.2,5,8,66,15,2,0,1,14,0,10,0,2,3.86,6.45,2.49,0.06,KT 위즈,12572,2024,3500,False,내국인,0,D
하준호,12,0,12,5,0,0,0,1,0,0,13.0,6,9,65,14,1,0,0,10,5,6,0,4,4.15,6.27,1.85,0.04,KT 위즈,10304,2024,4500,False,내국인,0,D
김정운,5,0,5,4,0,0,0,0,0,0,7.0,3,4,35,6,2,0,0,6,2,3,0,0,3.86,6.32,1.71,0.03,KT 위즈,15518,2024,25100,True,내국인,0,B
이채호,25,0,25,5,0,0,0,1,0,1,24.2,19,19,110,26,6,0,6,9,3,8,0,1,6.93,7.44,1.42,-0.05,KT 위즈,13130,2024,5300,False,내국인,0,C
김민수,14,0,14,5,0,0,0,1,0,3,13.0,10,10,58,17,5,2,1,5,0,4,0,0,6.92,5.19,1.69,-0.11,KT 위즈,11317,2024,16000,False,내국인,0,B
김민,16,4,12,5,0,0,1,2,0,0,29.0,22,26,145,40,6,0,3,16,4,22,0,4,6.83,5.32,1.93,-0.17,KT 위즈,13167,2024,5000,False,내국인,0,C
김태오,5,0,5,2,0,0,0,0,0,0,7.1,6,6,35,10,3,0,0,4,0,3,0,0,7.36,4.09,1.91,-0.22,KT 위즈,12577,2024,3500,False,내국인,0,D
소형준,3,3,0,0,0,0,0,0,0,0,11.0,14,14,59,22,4,0,1,3,3,4,0,2,11.45,5.71,2.27,-0.23,KT 위즈,14600,2024,22000,False,내국인,0,B
조이현,18,4,14,4,0,0,2,1,0,1,35.0,26,27,170,61,14,1,3,6,2,17,1,1,6.69,4.36,1.91,-0.43,KT 위즈,11284,2024,6000,False,내국인,0,C
원태인,26,26,0,0,0,0,7,7,0,0,150.0,54,61,634,157,26,1,15,34,6,102,2,6,3.24,4.17,1.27,4.43,삼성 라이온즈,14113,2024,43000,False,내국인,1,A
백정현,18,18,0,0,0,0,7,5,0,0,100.2,41,44,419,100,19,2,6,30,0,61,1,5,3.67,3.91,1.29,2.92,삼성 라이온즈,10363,2024,40000,False,내국인,1,A
오승환,58,1,57,49,0,0,4,5,30,2,62.2,24,26,264,57,11,1,9,15,2,44,0,0,3.45,4.59,1.15,0.99,삼성 라이온즈,10367,2024,40000,False,내국인,0,A
이승현,60,0,60,8,0,0,4,4,0,14,60.0,24,29,264,68,12,1,5,15,0,42,0,2,3.6,3.81,1.38,0.69,삼성 라이온즈,10527,2024,17000,False,내국인,0,B
이호성,5,2,3,1,0,0,1,0,0,0,17.0,5,5,71,11,4,1,1,10,0,11,0,1,2.65,4.76,1.24,0.65,삼성 라이온즈,15496,2024,23200,True,내국인,0,B
김대우,44,5,39,5,0,0,0,2,0,4,64.0,32,37,277,66,9,1,7,22,3,49,0,1,4.5,4.4,1.38,0.39,삼성 라이온즈,10685,2024,10000,False,내국인,0,B
이재익,51,0,51,5,0,0,1,3,0,11,41.0,18,19,181,46,5,1,3,17,0,26,0,3,3.95,4.27,1.54,0.29,삼성 라이온즈,13244,2024,8200,False,내국인,0,C
홍원표,3,0,3,0,0,0,0,0,0,0,3.2,1,1,15,2,0,0,0,2,0,1,0,0,2.45,4.86,1.09,0.13,삼성 라이온즈,14614,2024,3300,False,내국인,0,D
이승현,48,0,48,12,0,0,1,5,5,7,43.1,24,26,199,41,6,0,6,29,2,37,0,2,4.98,5.51,1.62,0.07,삼성 라이온즈,14798,2024,7000,False,내국인,0,C
박권후,4,0,4,2,0,0,0,0,0,0,2.2,1,2,13,4,0,0,1,1,0,0,1,0,3.38,9.47,1.88,0.01,삼성 라이온즈,15497,2024,16100,True,내국인,0,B
최채흥,15,14,1,0,0,0,1,7,0,0,63.1,47,52,295,90,13,3,9,16,3,33,1,1,6.68,5.12,1.67,-0.02,삼성 라이온즈,13156,2024,15000,False,내국인,1,B
김서준,8,1,7,5,0,0,0,1,0,1,7.2,6,6,39,9,2,0,0,6,2,2,0,3,7.04,6.43,1.96,-0.03,삼성 라이온즈,15039,2024,3400,False,내국인,0,D
황동재,7,7,0,0,0,0,0,5,0,0,31.2,25,27,155,40,14,1,6,21,2,27,0,0,7.11,6.22,1.93,-0.11,삼성 라이온즈,14615,2024,4100,False,내국인,1,D
최충연,7,0,7,3,0,0,0,0,0,0,9.1,5,8,47,10,1,0,3,7,3,8,1,0,4.82,8.85,1.82,-0.12,삼성 라이온즈,12530,2024,4700,False,내국인,0,D
김시현,2,0,2,2,0,0,0,0,0,0,3.0,4,5,17,6,1,0,2,2,0,2,0,0,12.0,12.18,2.67,-0.13,삼성 라이온즈,12932,2024,3700,False,내국인,0,D
최지광,22,0,22,4,0,0,2,0,0,1,17.1,10,10,82,17,2,0,4,9,1,18,0,0,5.19,5.79,1.5,-0.13,삼성 라이온즈,12934,2024,14000,False,내국인,0,B
