Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,포지션
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,
10,임종성,25 3B,0.58,33,0.25,0.33,89,88,83,7,23,4,0,2,33,11,1,0,3,1,0,26,1,1,1,0.277,0.307,0.398,0.705,0.101,86.5,0.58,3루수
11,허경민,25 3B,0.41,65,0.43,-0.02,266,265,236,26,62,10,0,2,78,20,3,0,22,6,1,25,11,1,1,0.263,0.34,0.331,0.671,0.104,86.5,0.41,3루수
12,김성현,25 3B,0.31,31,0.3,0.01,86,82,70,11,16,2,0,1,21,7,1,1,11,0,0,10,2,4,1,0.229,0.329,0.3,0.629,0.099,81.5,0.31,3루수
13,김한별,25 3B,0.31,43,0.23,0.08,40,39,34,9,10,0,0,0,10,3,1,0,2,3,0,3,1,1,0,0.294,0.385,0.294,0.679,0.116,100.7,0.31,3루수
14,박준순,25 3B,0.19,42,0.2,-0.02,113,112,105,12,32,2,0,2,40,7,4,2,4,1,0,22,1,1,2,0.305,0.33,0.381,0.711,0.106,91.5,0.19,3루수
15,문정빈,25 3B,0.1,21,-0.05,0.15,33,33,30,5,5,0,0,2,11,4,0,0,1,2,0,11,0,0,0,0.167,0.242,0.367,0.609,0.069,61.1,0.1,3루수
16,손호영,25 3B,0.04,53,-0.09,0.13,210,205,186,18,47,4,0,2,57,22,3,0,12,4,0,38,9,5,3,0.253,0.307,0.306,0.613,0.079,65.0,0.04,3루수
17,김민성,25 3B,-0.03,62,0.44,-0.47,181,180,154,18,38,7,0,2,51,23,0,1,23,2,0,29,5,1,1,0.247,0.35,0.331,0.681,0.117,94.2,-0.03,3루수
18,변우혁,25 3B,-0.12,40,-0.33,0.21,132,132,121,9,26,7,0,0,33,16,0,0,10,1,0,40,3,0,0,0.215,0.28,0.273,0.553,0.06,51.5,-0.12,3루수
19,이승원,25 3B,-0.13,1,-0.05,-0.08,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.166,-151.9,-0.13,3루수
20,여동욱,25 3B,-0.15,11,-0.05,-0.1,24,24,21,2,4,0,0,1,7,1,0,0,3,0,0,9,2,0,0,0.19,0.292,0.333,0.625,0.091,74.8,-0.15,3루수
21,정현창,25 3B,-0.15,4,-0.15,0.0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.166,-148.1,-0.15,3루수
22,이영빈,25 3B,-0.15,39,-0.08,-0.07,71,70,68,11,14,1,1,3,26,7,1,0,1,0,0,33,1,1,1,0.206,0.214,0.382,0.596,0.053,45.6,-0.15,3루수
23,김수윤,25 3B,-0.16,7,-0.17,0.01,12,12,11,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0.091,0.167,0.091,0.258,-0.048,-42.7,-0.16,3루수
24,박찬형,25 3B,-0.18,19,0.22,-0.4,54,54,50,8,17,0,1,1,22,5,0,1,4,0,0,9,1,0,0,0.34,0.389,0.44,0.829,0.159,131.2,-0.18,3루수
25,손용준,25 3B,-0.19,4,-0.13,-0.07,10,10,10,1,2,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0.2,0.2,0.2,0.4,-0.014,-13.3,-0.19,3루수
