팀,선수,연봉 총수령액(만원),연봉등급,pid,연도,팀연봉순위,전체연봉순위
SSG 랜더스,류효승,3000,D,14586,2021,45,618
KT 위즈,류희운,3800,D,12655,2021,53,472
SSG 랜더스,르위키,84500,A,14758,2021,7,34
롯데 자이언츠,마차도,84500,A,14629,2021,3,34
KIA 타이거즈,멩덴,94250,A,14755,2021,4,29
NC 다이노스,모창민,30000,B,10093,2021,8,85
삼성 라이온즈,몽고메리,71500,A,14898,2021,5,42
NC 다이노스,문경찬,11500,B,11299,2021,23,195
두산 베어스,문대원,3100,D,12848,2021,55,573
한화 이글스,문동욱,3600,D,11230,2021,42,486
LG 트윈스,문보경,3000,D,14137,2021,69,618
KT 위즈,문상인,3200,D,13227,2021,62,544
KT 위즈,문상준,3000,D,14720,2021,67,618
KT 위즈,문상철,6000,C,11333,2021,41,348
KIA 타이거즈,문선재,4000,D,10468,2021,49,455
LG 트윈스,문성주,3100,D,13112,2021,60,573
키움 히어로즈,문성현,4500,D,10437,2021,41,429
SSG 랜더스,문승원,25700,B,10783,2021,12,103
한화 이글스,문승진,6000,C,14874,2021,30,348
삼성 라이온즈,문용익,3000,D,12885,2021,74,618
키움 히어로즈,문찬종,3000,D,14578,2021,54,618
두산 베어스,미란다,91000,A,14751,2021,4,31
롯데 자이언츠,민병헌,50000,A,10188,2021,5,57
KIA 타이거즈,박건우,16000,B,14786,2021,8,152
두산 베어스,박건우,48000,B,10189,2021,8,65
KT 위즈,박경수,40000,B,10469,2021,7,71
두산 베어스,박계범,7000,C,11198,2021,29,305
키움 히어로즈,박관진,3000,D,14693,2021,54,618
KT 위즈,박규민,2700,D,11235,2021,79,809
KIA 타이거즈,박대명,6000,C,14821,2021,35,348
NC 다이노스,박대온,3000,D,11246,2021,55,618
키움 히어로즈,박동원,23000,B,10387,2021,14,109
키움 히어로즈,박동혁,3000,D,14700,2021,54,618
롯데 자이언츠,박명현,3200,D,14622,2021,52,544
KIA 타이거즈,박민,3000,D,14611,2021,70,618
KT 위즈,박민석,3000,D,14110,2021,67,618
NC 다이노스,박민우,63000,A,11137,2021,6,48
LG 트윈스,박민호,6000,C,14845,2021,40,348
SSG 랜더스,박민호,10000,B,11236,2021,22,218
키움 히어로즈,박병호,150000,A,10470,2021,1,7
한화 이글스,박상언,3200,D,12587,2021,56,544
NC 다이노스,박석민,70000,A,10322,2021,5,44
롯데 자이언츠,박선우,3300,D,12569,2021,51,521
두산 베어스,박성모,3000,D,13076,2021,64,618
키움 히어로즈,박성우,2700,D,14852,2021,81,809
두산 베어스,박성재,6000,C,14838,2021,34,348
SSG 랜더스,박성한,3000,D,12922,2021,45,618
롯데 자이언츠,박세웅,16500,B,11310,2021,14,149
삼성 라이온즈,박세웅,3000,D,12651,2021,74,618
두산 베어스,박세혁,26000,B,10891,2021,11,101
두산 베어스,박소준,3500,D,11491,2021,46,491
삼성 라이온즈,박승규,5700,C,14122,2021,44,387
KT 위즈,박승욱,8000,C,10804,2021,27,271
키움 히어로즈,박승주,3000,D,12989,2021,54,618
KT 위즈,박시영,6800,C,10737,2021,37,338
NC 다이노스,박시원,3000,D,14597,2021,55,618
SSG 랜더스,박시후,3000,D,14687,2021,45,618
롯데 자이언츠,박영완,3200,D,14164,2021,52,544
두산 베어스,박웅,3000,D,14731,2021,64,618
롯데 자이언츠,박재민,3000,D,14623,2021,63,618
LG 트윈스,박재욱,3100,D,12512,2021,60,573
SSG 랜더스,박정빈,8000,C,14862,2021,27,271
두산 베어스,박정수,4500,D,11300,2021,40,429
KIA 타이거즈,박정우,3000,D,12869,2021,70,618
키움 히어로즈,박정음,4300,D,10866,2021,44,444
한화 이글스,박정현,3400,D,14704,2021,45,509
SSG 랜더스,박제범,6000,C,14859,2021,36,348
SSG 랜더스,박종훈,32000,B,10131,2021,10,83
키움 히어로즈,박주성,3000,D,14130,2021,54,618
삼성 라이온즈,박주혁,3100,D,14668,2021,67,573
키움 히어로즈,박주현,3500,D,11375,2021,49,491
키움 히어로즈,박주홍,3000,D,14580,2021,54,618
한화 이글스,박주홍,3300,D,13136,2021,49,521
한화 이글스,박준범,3000,D,14702,2021,66,618
NC 다이노스,박준영,3200,D,12522,2021,49,544
키움 히어로즈,박준태,11000,B,11260,2021,20,197
KIA 타이거즈,박준표,16000,B,11070,2021,8,152
키움 히어로즈,박준형,3000,D,14211,2021,54,618
KT 위즈,박준호,3000,D,14190,2021,67,618
NC 다이노스,박지한,3000,D,14650,2021,55,618
두산 베어스,박지훈,3100,D,14736,2021,55,573
NC 다이노스,박진우,11500,B,11358,2021,23,195
KIA 타이거즈,박진태,5000,C,12913,2021,42,401
롯데 자이언츠,박진형,12000,B,11425,2021,16,185
KIA 타이거즈,박찬호,10000,B,11261,2021,16,218
두산 베어스,박치국,16000,B,12850,2021,15,152
한화 이글스,박한결,3100,D,11420,2021,61,573
삼성 라이온즈,박해민,38000,B,11190,2021,10,77
SSG 랜더스,박형준,7000,C,14861,2021,31,305
한화 이글스,배동현,9000,C,14809,2021,19,249
NC 다이노스,배민서,3100,D,14158,2021,51,573
롯데 자이언츠,배성근,3200,D,13279,2021,52,544
LG 트윈스,배재준,3000,D,12697,2021,69,618
KT 위즈,배정대,14000,B,11212,2021,17,167
KT 위즈,배제성,17000,B,11394,2021,14,143
두산 베어스,백동훈,3600,D,11084,2021,45,486
KIA 타이거즈,백미카엘,3000,D,13120,2021,70,618
두산 베어스,백민규,3000,D,12893,2021,64,618
KT 위즈,백선기,2700,D,13174,2021,79,809
삼성 라이온즈,백승민,4700,D,13241,2021,50,425
LG 트윈스,백승현,4000,D,13009,2021,51,455
한화 이글스,백용환,4000,D,10003,2021,38,455
삼성 라이온즈,백정현,25500,B,10363,2021,14,104
두산 베어스,백종수,3000,D,14839,2021,64,618
KIA 타이거즈,백현종,3000,D,14673,2021,70,618
키움 히어로즈,변상권,3500,D,13223,2021,49,491
KIA 타이거즈,변시원,4000,D,10882,2021,49,455
LG 트윈스,보어,45500,B,14988,2021,6,66
삼성 라이온즈,봉민호,3000,D,13190,2021,74,618
삼성 라이온즈,뷰캐넌,130000,A,14617,2021,1,11
KIA 타이거즈,브룩스,156000,A,14610,2021,1,5
키움 히어로즈,브리검,62400,A,12992,2021,6,49
LG 트윈스,서건창,22500,B,10855,2021,14,114
한화 이글스,서균,3700,D,11271,2021,41,478
KIA 타이거즈,서덕원,3100,D,12538,2021,66,573
SSG 랜더스,서동민,3000,D,13191,2021,45,618
두산 베어스,서예일,3500,D,12523,2021,46,491
롯데 자이언츠,서준원,8500,C,14159,2021,22,265
SSG 랜더스,서진용,17000,B,10784,2021,16,143
NC 다이노스,소이현,3100,D,12900,2021,51,573
KT 위즈,소형준,14000,B,14600,2021,17,167
롯데 자이언츠,손성빈,18000,B,14796,2021,12,132
롯데 자이언츠,손아섭,50000,A,10261,2021,5,57
NC 다이노스,손정욱,4400,D,11142,2021,44,442
LG 트윈스,손호영,3700,D,14590,2021,54,478
NC 다이노스,송명기,11000,B,14155,2021,25,197
KT 위즈,송민섭,5700,C,11342,2021,46,387
키움 히어로즈,송성문,6000,C,11376,2021,34,348
