Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼,팀,pid
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,,
16,이종준,24 P,0.0,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14651
16,김영준,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,13102
16,김진성,24 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,11166
16,함덕주,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,11094
16,박명근,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,15486
16,김대현,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,12532
16,이지강,24 P,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,14143
16,최동환,24 P,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,LG 트윈스,10535
28,전준호,24 C,-0.01,3,-0.03,0.01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-134.5,-0.01,LG 트윈스,12864
29,안익훈,24 LF,-0.02,37,-0.42,0.4,56,54,49,8,9,1,0,0,10,3,2,0,4,0,0,13,2,2,1,0.184,0.241,0.204,0.445,0.01,7.8,-0.02,LG 트윈스,11347
30,백승현,24 P,-0.03,3,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,-0.03,LG 트윈스,13009
30,정우영,24 P,-0.03,1,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-127.9,-0.03,LG 트윈스,14136
32,최명경,24 3B,-0.06,1,0.0,-0.06,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,0.089,63.3,-0.06,LG 트윈스,16026
33,김성진,24 1B,-0.07,14,0.01,-0.07,16,16,15,1,4,0,0,1,7,2,0,0,1,0,0,4,1,0,0,0.267,0.313,0.467,0.78,0.123,94.7,-0.07,LG 트윈스,14141
34,최승민,24 LF,-0.09,57,-0.29,0.2,16,15,13,20,1,0,0,0,1,1,11,7,2,0,0,3,0,1,0,0.077,0.2,0.077,0.277,-0.037,-28.6,-0.09,LG 트윈스,14187
35,송찬의,24 DH,-0.13,10,-0.12,-0.01,21,20,15,2,1,0,0,0,1,1,1,0,3,1,0,6,0,1,1,0.067,0.25,0.067,0.317,0.003,2.3,-0.13,LG 트윈스,13109
36,김수인,24 2B,-0.13,4,-0.08,-0.06,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.19,-136.0,-0.13,LG 트윈스,14675
37,이영빈,24 1B,-0.18,31,-0.13,-0.05,71,69,63,11,14,2,0,2,22,12,0,1,4,0,0,20,0,2,2,0.222,0.261,0.349,0.61,0.059,45.5,-0.18,LG 트윈스,14783
38,손호영,24 3B,-0.19,2,-0.07,-0.12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,-0.19,LG 트윈스,14590
39,함창건,24 LF,-0.19,15,-0.2,0.01,17,16,14,3,2,0,0,0,2,0,0,0,2,0,0,3,1,1,0,0.143,0.25,0.143,0.393,0.006,4.4,-0.19,LG 트윈스,14680
40,김성우,24 C,-0.26,4,-0.12,-0.14,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,-0.19,-139.9,-0.26,LG 트윈스,15085
41,김민수,24 3B,-0.33,19,-0.22,-0.11,22,22,20,1,3,0,0,0,3,0,0,0,1,1,0,4,1,0,0,0.15,0.227,0.15,0.377,-0.004,-3.4,-0.33,LG 트윈스,12931
42,김범석,24 DH,-0.33,70,-0.25,-0.08,180,179,162,14,39,4,0,6,61,24,0,0,14,2,2,49,4,0,2,0.241,0.306,0.377,0.683,0.095,71.7,-0.33,LG 트윈스,15484
43,허도환,24 C,-0.64,59,-0.22,-0.42,105,100,80,10,11,2,0,0,13,11,0,1,9,10,0,26,4,5,1,0.138,0.3,0.163,0.463,0.059,44.6,-0.64,LG 트윈스,10684
1,레이예스,24 RF,3.4,144,3.98,-0.58,632,631,574,88,202,40,3,15,293,111,5,0,46,1,2,82,16,0,11,0.352,0.394,0.51,0.904,0.179,127.5,3.4,롯데 자이언츠,16106
2,윤동희,24 CF,3.13,141,2.9,0.23,613,610,532,97,156,35,4,14,241,85,7,8,67,7,1,114,10,2,5,0.293,0.376,0.453,0.829,0.159,113.1,3.13,롯데 자이언츠,15048
3,고승민,24 2B,3.08,120,2.96,0.12,532,531,481,79,148,27,6,14,229,87,5,4,41,1,0,78,10,1,8,0.308,0.358,0.476,0.834,0.152,107.9,3.08,롯데 자이언츠,14160
4,손호영,24 3B,2.4,100,2.96,-0.57,428,425,396,70,126,26,4,18,214,78,7,4,17,9,2,65,5,1,5,0.318,0.356,0.54,0.896,0.17,121.7,2.4,롯데 자이언츠,14590
5,황성빈,24 CF,2.33,125,2.46,-0.13,406,400,366,94,117,15,8,4,160,26,51,10,31,2,0,56,3,6,1,0.32,0.375,0.437,0.812,0.153,109.0,2.33,롯데 자이언츠,14642
6,나승엽,24 1B,2.22,121,2.83,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.88,0.182,129.7,2.22,롯데 자이언츠,14797
7,전준우,24 DH,1.8,109,2.15,-0.36,483,482,423,57,124,26,2,17,205,82,3,1,49,5,0,84,11,1,5,0.293,0.369,0.485,0.854,0.163,115.7,1.8,롯데 자이언츠,10266
