선수,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,팀,pid,연도
김태욱,투수,0.04,1,0,1,1,0,0,0,0,0,0,1.0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.85,0.0,롯데 자이언츠,12923,2021
진승현,투수,-0.01,24,0,24,8,0,0,2,2,0,1,27.2,18,20,18.45,129,34,3,0,2,16,0,3,25,2,0,1,5.86,6.51,6.0,5.93,4.13,1.81,롯데 자이언츠,15047,2021
우강훈,투수,-0.01,3,1,2,2,0,0,0,0,0,0,6.0,4,5,3.45,29,6,1,0,0,4,1,0,5,1,0,0,6.0,7.5,5.18,5.46,4.35,1.67,롯데 자이언츠,14816,2021
박진,투수,-0.07,4,0,4,1,0,0,0,0,0,0,5.0,5,5,5.2,29,7,2,0,1,7,0,0,2,0,1,1,9.0,9.0,9.36,8.86,9.57,2.8,롯데 자이언츠,14163,2021
장세진,투수,-0.09,2,0,2,0,0,0,0,0,0,0,1.1,2,2,2.5,8,2,0,0,1,2,0,0,1,0,0,0,13.5,13.5,16.88,15.88,15.55,3.0,롯데 자이언츠,15448,2021
나원탁,투수,-0.13,1,0,1,0,0,0,0,0,0,0,0.2,3,3,3.0,6,3,0,0,1,1,0,0,1,0,0,0,40.5,40.5,40.5,40.28,22.6,6.0,롯데 자이언츠,12935,2021
신정락,투수,-0.14,34,0,34,9,0,0,4,0,0,1,29.0,15,15,20.7,128,32,6,0,4,11,3,3,28,1,0,0,4.66,4.66,6.42,6.15,4.47,1.48,롯데 자이언츠,10516,2021
김진욱,투수,-0.16,49,0,49,2,0,0,2,1,0,8,36.1,26,27,25.7,177,37,6,1,4,29,2,0,35,1,0,3,6.44,6.69,6.37,6.25,5.4,1.82,롯데 자이언츠,14792,2021
이인복,투수,-0.4,10,7,3,0,0,0,1,4,0,0,33.1,24,32,30.65,168,54,7,3,3,10,5,1,15,6,0,4,6.48,8.64,8.28,8.09,5.1,1.92,롯데 자이언츠,11232,2021
이태연,투수,-0.41,15,0,15,2,0,0,0,0,0,1,5.2,10,10,10.35,37,12,3,0,1,9,0,0,4,0,0,0,15.88,15.88,16.44,15.9,9.11,3.71,롯데 자이언츠,15444,2021
최영환,투수,-0.59,8,0,8,4,0,0,0,1,0,0,10.0,11,14,13.65,54,15,8,0,0,7,1,0,7,3,0,0,9.9,12.6,12.29,11.58,4.58,2.2,롯데 자이언츠,11276,2021
문경찬,투수,-0.68,2,0,2,1,0,0,0,1,0,0,2.0,6,6,6.0,12,6,0,0,3,0,0,0,2,0,0,0,27.0,27.0,27.0,27.29,19.2,3.0,롯데 자이언츠,11299,2021
윤명준,투수,-1.1,21,0,21,8,0,0,0,1,0,5,19.1,14,14,21.95,98,31,3,1,4,10,4,2,11,0,0,5,6.52,6.52,10.22,9.94,7.13,2.12,롯데 자이언츠,10885,2021
양현종,투수,4.15,29,29,0,0,0,0,9,11,0,0,171.0,68,78,76.45,729,181,33,1,13,48,1,1,133,9,0,5,3.58,4.11,4.02,4.13,3.7,1.34,KIA 타이거즈,10058,2021
이의리,투수,3.29,28,28,0,0,0,0,11,7,0,0,131.2,58,64,57.45,598,103,18,0,4,93,8,1,156,12,0,10,3.96,4.37,3.93,4.05,3.63,1.49,KIA 타이거즈,14788,2021
