Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid
41,이흥련,23 C,-0.202,16,4,55.0,48,45,2,1,97.9,7.69,0.0,,-0.35,,-0.01,-0.98,-1.45,,-2.36,-21.25,0.38,-1.98,-0.241,111084
44,최정,23 3B,-0.256,114,112,934.1,258,70,175,13,95.0,2.36,-4.87,,1.67,0.69,0.01,,,,-2.51,-2.82,0.0,-2.51,-0.256,101064
49,전의산,23 1B,-0.322,45,37,296.0,292,268,20,4,98.6,8.76,-1.1,,0.54,,0.06,,,,-0.5,-1.29,-2.66,-3.16,-0.051,146994
50,추신수,23 RF,-0.324,25,24,187.1,43,42,1,0,100.0,2.07,-2.66,0.21,0.36,,,,,,-2.09,-2.69,-1.08,-3.17,-0.213,148884
53,문승원,23 P,,50,12,105.0,28,6,21,1,96.4,2.31,,,,,,,,,0.0,0.0,,,0.0,107834
53,서진용,23 P,,69,0,73.0,5,1,4,0,100.0,0.62,,,,,,,,,0.0,0.0,,,0.0,107844
53,고효준,23 P,,70,0,58.0,11,1,8,2,81.8,1.4,,,,,,,,,0.0,0.0,,,0.0,101244
53,이건욱,23 P,,27,1,38.2,7,1,5,1,85.7,1.4,,,,,,,,,0.0,0.0,,,0.0,112424
53,최민준,23 P,,52,0,60.0,9,3,6,0,100.0,1.35,,,,,,,,,0.0,0.0,,,0.0,131264
53,백승건,23 P,,24,2,38.0,6,0,5,1,83.3,1.18,,,,,,,,,0.0,0.0,,,0.0,141454
53,노경은,23 P,,74,0,83.0,15,6,8,1,93.3,1.52,,,,,,,,,0.0,0.0,,,0.0,102034
53,임준섭,23 P,,39,0,32.2,3,1,2,0,100.0,0.83,,,,,,,,,0.0,0.0,,,0.0,107954
2,박민우,23 2B,0.84,114,108,874.2,475,196,264,15,96.8,4.73,5.73,,-1.1,-1.1,,,,,3.53,4.1,4.71,8.24,0.36,111375
3,박세혁,23 C,0.809,86,72,620.0,566,524,41,1,99.8,8.2,0.38,,1.11,,0.28,-1.17,0.99,,1.29,2.1,6.65,7.93,0.131,108915
5,김형준,23 C,0.35,24,19,180.0,169,160,7,2,98.8,8.35,0.12,,-0.52,,,0.16,2.62,,1.59,8.8,1.85,3.44,0.162,130815
21,안중열,23 C,0.036,74,50,411.2,399,373,21,5,98.7,8.61,-0.22,,-1.41,,-0.3,1.06,-3.93,,-3.63,-6.78,3.98,0.36,-0.37,113295
25,박한결,23 LF,0.022,5,1,14.0,5,5,0,0,100.0,3.21,0.91,-0.64,0.02,,,,,,0.3,3.57,-0.08,0.22,0.03,154515
30,전사민,23 P,0.0,9,0,17.0,7,3,3,1,85.7,3.18,,,,,,,,,0.0,0.0,0.0,0.0,0.0,141565
31,박대온,23 C,-0.004,24,3,69.2,71,64,4,3,95.8,8.78,-0.09,,-0.81,,,-0.04,0.33,,-0.71,-4.1,0.67,-0.04,-0.073,112465
43,윤형준,23 1B,-0.15,74,57,476.0,470,431,35,4,99.1,8.81,3.63,,-0.62,,-0.16,,,,2.85,5.01,-4.32,-1.47,0.291,111355
48,오영수,23 1B,-0.243,66,61,482.0,450,417,25,8,98.2,8.25,2.37,,-0.12,,-0.06,,,,2.2,4.52,-4.58,-2.38,0.224,130825
54,배민서,23 P,,6,0,6.2,2,2,0,0,100.0,2.7,,,,,,,,,0.0,,,,0.0,141585
54,김시훈,23 P,,60,0,52.2,8,1,6,1,87.5,1.2,,,,,,,,,0.0,0.0,,,0.0,130805
54,류진욱,23 P,,70,0,67.0,16,2,14,0,100.0,2.15,,,,,,,,,0.0,0.0,,,0.0,113555
54,한재승,23 P,,10,0,9.2,1,0,0,1,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,147645
54,이용찬,23 P,,60,0,61.0,17,7,9,1,94.1,2.36,,,,,,,,,0.0,0.0,,,0.0,102175
54,채지선,23 P,,2,0,2.2,1,1,0,0,100.0,3.38,,,,,,,,,0.0,0.0,,,0.0,113875
1,양의지,23 C,1.361,97,94,773.0,686,635,48,3,99.6,7.95,0.14,,1.5,,-0.08,1.63,1.62,,4.32,4.82,9.02,13.34,0.44,101651
3,허경민,23 3B,0.499,126,116,997.2,250,90,155,5,98.0,2.21,3.33,,1.81,-0.43,0.18,,,,4.9,5.42,0.0,4.9,0.499,101841
5,정수빈,23 CF,0.469,135,131,1111.0,326,318,8,0,100.0,2.64,2.32,0.86,1.41,,,,,,4.6,4.83,0.0,4.6,0.469,101951
9,장승현,23 C,0.298,75,37,390.1,343,312,29,2,99.4,7.86,-0.86,,0.51,,-0.01,-0.32,-0.21,,-0.82,-1.55,3.74,2.93,-0.083,110971
22,강진성,23 1B,0.037,2,0,2.0,4,4,0,0,100.0,18.0,0.4,,0.0,,,,,,0.4,1.0,-0.04,0.36,0.041,111481
23,김민혁,23 1B,0.024,12,5,56.0,57,52,4,1,98.2,9.0,1.02,,-0.39,,0.06,,,,0.69,4.73,-0.46,0.23,0.07,129701
