Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,pid,pit_G,pit_GS,GR,GF,CG,SHO,W,L,S,HD,pit_IP,ER,R_x,rRA,TBF,H_x,2B_x,3B_x,HR_x,BB_x,HP_x,IB_x,SO_x,ROE,BK,WP,ERA,FIP,WHIP,연봉(만원),WAR,WAR당 연봉
장현식,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,11164.0,75,0,75,6,0,0,5,4,0,16,75.1,33,41,37.4,331,75,16,0,8,34,2,2,75,5,0,4,3.94,4.37,1.45,16000,1.69,9468
김진성,투수,70,0,70.1,4,5,1,1.15,0.0,0.0,LG 트윈스,11166.0,71,0,71,6,0,0,3,3,1,27,70.1,31,34,38.35,294,62,11,1,11,23,7,3,61,4,0,2,3.97,5.17,1.21,20000,0.57,35046
임정호,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,11168.0,65,0,65,10,0,0,1,6,2,9,55.0,27,32,31.65,243,54,8,1,3,25,3,3,46,3,0,0,4.42,4.22,1.44,13500,0.59,22735
이상민,투수,36,0,30.0,1,0,0,0.3,0.0,0.0,삼성 라이온즈,11169.0,37,0,37,6,0,0,2,1,1,8,30.0,13,13,11.6,121,31,5,0,2,6,4,0,12,0,0,2,3.9,5.03,1.23,6500,0.72,8977
윤호솔,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,11170.0,7,0,7,2,0,0,0,0,0,0,4.1,2,2,1.65,24,4,0,0,0,8,0,0,5,0,0,0,4.15,7.04,2.77,7000,0.10,69777
하영민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,키움 히어로즈,11222.0,28,28,0,0,0,0,9,8,0,0,150.1,73,82,79.25,671,168,33,6,8,58,5,0,101,9,0,7,4.37,4.45,1.5,8000,2.95,2711
김유영,투수,52,2,47.2,0,6,3,1.13,0.0,0.0,LG 트윈스,11229.0,53,2,51,6,0,0,1,2,1,6,47.2,20,27,25.7,212,50,7,0,2,16,4,0,42,8,1,3,3.78,3.8,1.38,6700,0.56,11926
이인복,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,11232.0,8,6,2,1,0,0,0,3,0,0,33.0,35,35,36.05,159,49,14,0,10,13,3,0,20,1,0,4,9.55,7.79,1.88,10000,-0.10,-101025
박민호,투수,19,0,22.2,0,1,0,0.4,0.0,0.0,SSG 랜더스,11236.0,19,0,19,8,0,0,2,0,0,0,22.2,12,14,17.1,98,25,3,0,4,7,2,1,10,1,0,0,4.76,6.29,1.41,6000,0.17,34772
이건욱,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,11242.0,10,2,8,1,0,0,1,2,0,0,19.0,24,25,24.3,106,34,4,0,5,15,2,0,17,2,0,3,11.37,7.87,2.58,6100,-0.39,-15776
배재환,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,11248.0,20,0,20,5,0,0,0,1,0,0,19.2,16,17,16.5,91,20,2,0,5,15,0,1,13,0,0,0,7.32,7.94,1.78,6300,-0.11,-55843
조이현,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,11284.0,16,9,7,2,0,0,1,2,0,0,40.0,28,29,27.4,184,53,11,1,9,10,1,1,19,1,0,1,6.3,6.46,1.58,6000,0.51,11721
구승민,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,11291.0,66,0,66,7,0,0,5,3,0,13,57.2,31,37,42.7,279,68,10,0,6,35,6,1,62,5,0,7,4.84,4.9,1.79,45000,0.24,188098
박정수,투수,28,1,29.2,0,2,1,0.61,0.0,0.0,두산 베어스,11300.0,29,1,28,7,0,0,1,2,0,4,29.2,17,18,19.9,137,38,4,1,2,12,2,0,22,0,0,2,5.16,4.61,1.69,5500,0.06,87154
이준영,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KIA 타이거즈,11303.0,56,0,56,5,0,0,4,0,0,9,35.0,15,21,22.15,160,37,8,0,5,17,2,3,33,4,0,0,3.86,4.96,1.54,14000,0.38,36780
고영표,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,11308.0,18,17,1,0,0,0,6,8,0,0,100.0,55,61,59.8,456,141,27,4,6,14,11,0,79,4,1,2,4.95,3.71,1.55,200000,1.89,105830
박세웅,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,롯데 자이언츠,11310.0,30,30,0,0,0,0,6,11,0,0,173.1,92,103,97.65,759,188,33,0,13,56,11,0,124,12,0,10,4.78,4.5,1.41,135000,4.69,28778
김민수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,11317.0,75,0,75,6,0,0,5,3,0,12,81.1,47,56,54.45,358,84,13,5,8,33,1,2,75,8,0,3,5.2,4.28,1.44,16000,0.51,31184
엄상백,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,KT 위즈,11318.0,29,29,0,0,0,0,13,10,0,0,156.2,85,88,85.4,675,164,26,3,26,42,7,0,159,3,0,2,4.88,4.61,1.31,25000,3.95,6335
주권,투수,48,1,58.0,5,12,1,2.64,0.0,0.0,KT 위즈,11323.0,48,1,47,13,0,0,1,1,0,0,58.0,43,48,49.9,254,78,14,2,7,11,3,0,31,2,0,0,6.67,5.05,1.53,20000,-0.17,-118929
류진욱,투수,49,0,42.1,6,5,1,2.34,0.0,0.0,NC 다이노스,11355.0,50,0,50,5,0,0,2,1,0,10,42.1,27,30,31.9,194,52,8,0,4,19,2,0,37,1,0,3,5.74,4.68,1.68,16500,-0.13,-122398
김사윤,투수,23,2,37.0,0,6,1,1.46,0.0,0.0,KIA 타이거즈,11364.0,23,2,21,10,0,0,0,1,1,0,37.0,19,29,30.05,173,40,6,2,2,25,5,0,36,1,0,4,4.62,4.92,1.76,3400,-0.10,-32496
김택형,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,SSG 랜더스,11373.0,6,0,6,0,0,0,0,1,0,0,7.0,7,7,6.15,37,10,1,0,1,6,1,1,1,0,1,1,9.0,8.64,2.29,20500,-0.03,-795943
최원태,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,LG 트윈스,11379.0,24,23,1,0,0,0,9,7,0,0,126.2,60,66,62.2,554,126,20,1,10,57,5,0,103,6,0,5,4.26,4.62,1.44,40000,2.78,14390
채원후,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,NC 다이노스,11387.0,3,0,3,1,0,0,0,0,0,0,3.0,4,4,4.0,18,6,2,0,0,3,0,0,2,0,0,2,12.0,5.63,3.0,3500,-0.03,-101895
장필준,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,삼성 라이온즈,11404.0,1,0,1,0,0,0,0,0,0,0,0.1,5,5,3.95,6,5,1,0,0,0,0,0,0,0,0,1,99.99,4.2,15.0,7000,-0.01,-580359
김민우,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,11410.0,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.0,49,7,0,0,2,6,0,0,13,1,0,0,2.19,5.0,1.05,16700,0.62,26890
김범수,투수,0,0,0.0,0,0,0,0.0,0.0,0.0,한화 이글스,11411.0,39,0,39,6,0,0,0,0,0,4,34.0,20,20,25.1,157,33,2,0,11,20,5,1,38,2,0,3,5.29,7.44,1.56,19300,0.14,134337
