Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,팀,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,연봉(만원),WAR,WAR당 연봉
이성규,우익수,51,33,294.1,78,2,3,2.45,4.5,5.32,삼성 라이온즈,122,355,351,302,56,73,10,1,22,57,9,2,31,15,0,109,5,4,3,6000,1.86,3233
장진혁,우익수,15,2,48.1,12,0,0,2.23,1.4,2.04,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0.76,7644
김태연,우익수,69,68,526.0,81,4,2,1.45,-4.45,-5.09,한화 이글스,126,472,466,413,59,120,24,0,12,61,5,2,45,4,0,89,9,6,4,7800,0.47,16566
홍성호,우익수,3,0,5.0,0,0,0,0.0,0.34,3.23,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,0.10,31759
박정우,우익수,7,2,25.0,6,0,1,2.16,-0.02,-0.05,KIA 타이거즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,0.42,8953
이유찬,우익수,5,3,17.0,3,0,0,1.59,0.64,0.89,두산 베어스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,0.73,11604
김성윤,우익수,11,7,63.1,14,1,0,2.13,1.49,6.72,삼성 라이온즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0.09,114787
홍현빈,우익수,15,1,29.0,8,0,1,2.48,-2.12,-10.91,KT 위즈,28,22,21,18,5,4,0,1,0,2,0,0,3,0,0,7,0,1,0,4500,-0.16,-29019
조용호,우익수,49,32,295.0,58,0,1,1.77,2.79,6.7,KT 위즈,60,165,162,149,17,37,5,0,0,13,5,1,13,0,0,25,5,3,0,15000,-0.42,-35436
로하스,우익수,80,75,575.0,119,3,2,1.91,-2.57,-2.57,KT 위즈,144,670,664,572,108,188,39,1,32,112,2,1,88,6,9,115,10,0,4,50000,7.26,6889
안치영,우익수,13,1,30.0,3,0,0,0.9,-0.32,-1.5,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,-0.07,-71312
문성주,우익수,25,17,137.0,31,1,1,2.1,1.37,2.05,LG 트윈스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,2.89,6928
이원석,우익수,14,2,40.0,7,1,0,1.8,-0.88,-1.46,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,0.19,18675
장두성,우익수,19,0,30.1,6,0,1,1.78,-0.04,-0.08,롯데 자이언츠,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,-0.22,-17905
윤정빈,우익수,49,30,285.1,66,1,0,2.11,3.43,7.16,삼성 라이온즈,69,188,188,161,26,46,4,1,7,20,1,3,22,3,0,47,1,0,2,3700,1.74,2126
강백호,우익수,5,3,24.0,2,0,2,0.75,-2.01,-2.01,KT 위즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,2.75,10546
최상민,우익수,20,0,32.2,6,1,0,1.93,-0.88,-2.95,SSG 랜더스,43,13,13,12,9,2,2,0,0,1,2,1,0,1,0,5,0,0,0,3200,0.15,21232
변상권,우익수,9,5,51.2,18,0,0,3.14,2.12,3.96,키움 히어로즈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,0.24,19811
한석현,우익수,22,8,100.1,18,2,0,1.79,-0.48,-1.74,NC 다이노스,40,76,76,73,10,18,4,1,0,3,2,1,2,1,0,22,2,0,0,3900,-0.47,-8230
천재환,우익수,48,26,248.0,41,1,2,1.52,-3.15,-5.1,NC 다이노스,89,236,233,215,31,61,9,1,5,33,8,2,13,4,0,52,7,3,1,5000,0.31,16080
권광민,우익수,1,0,1.0,0,0,0,0.0,0.0,0.02,한화 이글스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3300,0.53,6250
유로결,우익수,11,1,33.1,7,0,0,1.89,2.43,15.19,한화 이글스,23,39,39,36,6,8,1,0,0,4,0,1,3,0,0,11,4,0,0,3300,-0.06,-59189
