Name,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR,pid,연도,수상횟수,연봉,샐러리캡,이후연봉
요키시,31,31,0,0,0,0,16,9,0,0,181.1,59,71,69.45,739,171,24,0,12,46,4,2,131,18,0,9,2.93,3.52,3.45,3.48,3.59,1.2,6.13,13940,2021,1.0,97500.0,674831,117000.0
안우진,21,21,0,0,0,0,8,8,0,0,107.2,39,47,46.15,450,88,15,1,13,41,7,1,110,7,1,5,3.26,3.93,3.86,3.98,4.0,1.2,3.02,13091,2021,0.0,9000.0,674831,15000.0
한현희,18,15,3,0,0,0,6,2,0,1,85.2,37,42,37.85,372,86,20,0,4,30,6,0,61,3,0,3,3.89,4.41,3.98,4.13,3.85,1.35,2.24,10863,2021,0.0,29000.0,674831,25000.0
최원태,28,28,0,0,0,0,9,11,0,0,143.1,73,89,84.75,643,163,21,3,11,53,10,2,93,10,0,3,4.58,5.59,5.32,5.55,4.38,1.51,1.68,11379,2021,0.0,29000.0,674831,31000.0
김태훈,66,0,66,20,0,0,4,2,11,15,64.1,23,26,28.05,282,60,10,0,1,33,1,2,52,3,1,3,3.22,3.64,3.92,4.09,3.47,1.45,1.61,10871,2021,0.0,10000.0,674831,19000.0
정찬헌,11,11,0,1,1,1,3,3,0,0,56.1,25,26,25.65,248,64,11,0,1,15,4,0,28,5,0,1,3.99,4.15,4.1,4.2,3.78,1.4,1.45,10533,2021,0.0,20000.0,674831,28000.0
김재웅,51,0,51,9,0,0,0,1,1,11,53.1,21,24,25.4,243,49,2,0,5,33,1,3,47,6,0,2,3.54,4.05,4.29,4.4,4.6,1.54,1.04,12858,2021,0.0,5200.0,674831,10400.0
김성민,47,0,47,6,0,0,2,3,1,11,46.2,17,21,24.25,218,43,7,0,4,35,6,2,36,3,0,1,3.28,4.05,4.68,4.81,5.52,1.67,0.7,12918,2021,0.0,6000.0,674831,9000.0
김동혁,40,8,32,10,0,0,0,5,1,0,82.0,46,51,52.2,367,89,21,0,5,34,14,4,30,9,1,0,5.05,5.6,5.73,5.68,5.24,1.5,0.7,14674,2021,0.0,3000.0,674831,6000.0
윤정현,10,0,10,3,0,0,0,0,0,1,12.1,2,2,3.35,53,11,2,0,0,5,1,0,7,0,0,0,1.46,1.46,2.44,2.48,3.86,1.3,0.4,14131,2021,0.0,3500.0,674831,4100.0
김인범,3,0,3,2,0,0,0,0,0,0,5.1,0,0,0.0,20,3,1,0,0,1,0,0,5,0,0,0,0.0,0.0,0.0,0.0,2.0,0.75,0.25,14480,2021,0.0,3000.0,674831,3300.0
김준형,14,0,14,2,0,0,0,0,0,0,14.1,5,6,7.55,67,15,1,0,2,7,3,0,8,1,0,1,3.14,3.77,4.74,5.01,6.19,1.53,0.18,14848,2021,0.0,11000.0,674831,12200.0
박승주,3,0,3,1,0,0,0,0,0,0,4.1,2,2,2.0,18,3,1,0,0,3,0,0,1,0,0,0,4.15,4.15,4.15,4.4,5.34,1.38,0.07,12989,2021,0.0,3000.0,674831,3200.0
박주성,13,0,13,7,0,0,0,1,0,0,18.1,10,11,12.9,89,24,1,0,1,9,2,0,12,0,0,1,4.91,5.4,6.33,6.71,4.64,1.8,0.01,14130,2021,0.0,3000.0,674831,4000.0
문성현,4,0,4,3,0,0,0,0,0,0,3.1,2,2,3.2,18,3,2,0,0,6,0,0,3,0,0,1,5.4,5.4,8.64,7.92,7.1,2.7,-0.02,10437,2021,0.0,4500.0,674831,3500.0
양현,45,0,45,9,0,0,1,2,0,5,48.0,25,31,32.75,225,59,11,0,3,26,1,4,22,2,0,1,4.69,5.81,6.14,6.32,4.98,1.77,-0.02,10730,2021,0.0,12000.0,674831,10000.0
김동욱,3,0,3,3,0,0,0,0,0,0,3.0,3,3,3.0,16,7,0,1,2,1,0,0,2,0,0,0,9.0,9.0,9.0,9.12,11.07,2.67,-0.03,14681,2021,0.0,3000.0,674831,3100.0
조영건,1,0,1,1,0,0,0,0,0,0,1.0,0,0,1.55,6,1,0,0,0,2,0,0,3,0,0,0,0.0,0.0,13.95,13.25,2.47,3.0,-0.03,14132,2021,0.0,3800.0,674831,3400.0
김성진,46,0,46,11,0,0,1,3,0,2,41.2,24,30,29.25,188,40,13,0,4,23,0,2,31,5,0,3,5.18,6.48,6.32,6.5,4.69,1.51,-0.06,14849,2021,0.0,10000.0,674831,12000.0
김정인,11,6,5,1,0,0,1,2,0,0,31.2,25,26,25.5,151,34,6,1,6,18,2,0,21,3,0,2,7.11,7.39,7.25,7.59,6.32,1.64,-0.07,11531,2021,0.0,3200.0,674831,4000.0
장재영,19,2,17,3,0,0,0,1,0,0,17.2,18,18,14.75,92,15,5,0,0,24,3,0,14,1,0,5,9.17,9.17,7.51,7.46,6.52,2.21,-0.13,14784,2021,0.0,93000.0,674831,93100.0
이종민,2,0,2,1,0,0,0,0,0,0,2.1,6,6,6.0,17,4,0,0,1,7,0,0,3,0,0,0,23.14,23.14,23.14,22.78,14.95,4.71,-0.2,14576,2021,0.0,3000.0,674831,3000.0
김선기,21,7,14,5,0,0,3,2,0,0,48.1,35,38,35.75,224,53,12,0,5,22,7,0,25,4,1,4,6.52,7.08,6.66,6.75,5.56,1.55,-0.29,13092,2021,0.0,5300.0,674831,6300.0
이승호,38,3,35,5,0,0,1,3,0,5,47.1,29,39,37.45,224,55,7,1,4,31,1,2,37,6,0,8,5.51,7.42,7.12,7.45,4.78,1.82,-0.36,12865,2021,0.0,10000.0,674831,8500.0
박관진,2,0,2,0,0,0,0,0,0,0,0.2,6,9,7.45,12,5,1,0,0,3,1,0,0,1,0,0,81.0,99.99,100.58,102.94,22.37,12.0,-0.39,14693,2021,0.0,3000.0,674831,3000.0
김민우,29,29,0,1,1,0,6,11,0,0,163.0,79,82,78.0,711,143,40,1,16,84,8,8,129,9,0,13,4.36,4.53,4.31,4.33,4.61,1.39,3.36,11410,2022,0.0,19100.0,509546,22800.0
장민재,32,25,7,1,0,0,7,8,0,0,126.2,50,54,54.0,531,124,18,2,15,39,4,1,75,6,0,3,3.55,3.84,3.84,3.82,4.74,1.29,3.33,10610,2022,0.0,7600.0,509546,11500.0
페냐,13,13,0,0,0,0,5,4,0,0,67.2,28,33,30.95,293,63,10,2,4,30,4,0,72,4,0,4,3.72,4.39,4.12,4.16,3.39,1.37,1.52,15146,2022,0.0,65000.0,509546,84500.0
윤산흠,37,0,37,7,0,0,1,1,0,3,33.2,10,12,11.45,155,23,7,0,1,30,2,4,46,5,0,6,2.67,3.21,3.06,3.04,3.48,1.57,1.06,14196,2022,0.0,3100.0,509546,4800.0
김범수,78,0,78,5,0,0,3,7,0,27,66.0,32,36,34.8,289,64,13,0,5,35,3,5,58,4,0,2,4.36,4.91,4.75,4.78,4.13,1.5,0.7,11411,2022,0.0,9680.0,509546,14100.0
장시환,64,0,64,30,0,0,0,5,14,9,63.2,31,37,35.45,280,57,14,2,4,33,1,4,67,5,0,2,4.38,5.23,5.01,5.01,3.41,1.41,0.49,10453,2022,0.0,21000.0,509546,33000.0
강재민,56,0,56,24,0,0,4,8,7,7,51.1,24,26,28.7,232,44,5,1,7,29,4,8,39,2,0,1,4.21,4.56,5.03,4.95,5.08,1.42,0.42,14708,2022,0.0,15000.0,509546,15000.0
정우람,23,0,23,5,0,0,0,1,1,7,18.1,6,8,8.35,84,23,5,0,1,6,0,1,20,2,0,0,2.95,3.93,4.1,4.36,2.55,1.58,0.29,10156,2022,0.0,80000.0,509546,50000.0
박상원,14,0,14,1,0,0,0,0,0,4,12.0,3,4,5.4,53,11,1,0,0,6,0,0,16,3,0,1,2.25,3.0,4.05,4.16,2.0,1.42,0.24,12871,2022,0.0,13300.0,509546,13300.0
문동주,13,4,9,1,0,0,1,3,0,2,28.2,18,19,16.95,127,28,5,1,5,14,1,0,36,4,1,2,5.65,5.97,5.32,5.59,4.34,1.47,0.21,15013,2022,0.0,3000.0,509546,3300.0
박윤철,11,7,4,2,0,0,0,3,0,0,33.1,17,22,21.7,164,41,7,0,5,23,2,0,16,2,1,2,4.59,5.94,5.86,5.9,6.69,1.92,0.15,14129,2022,0.0,3200.0,509546,3400.0
이민우,24,4,20,1,0,0,1,0,0,0,40.2,24,26,27.05,182,50,8,2,3,14,1,0,22,5,0,1,5.31,5.75,5.99,6.08,4.45,1.57,0.07,13003,2022,0.0,4800.0,509546,5100.0
한승주,7,2,5,0,0,0,0,0,0,0,15.2,11,11,10.5,76,25,3,0,0,4,3,0,12,0,0,0,6.32,6.32,6.03,6.07,3.25,1.85,0.06,14621,2022,0.0,3000.0,509546,3100.0
임준섭,5,0,5,1,0,0,0,0,0,0,3.2,1,1,2.05,18,5,1,0,0,1,1,0,0,0,0,2,2.45,2.45,5.03,5.49,5.48,1.64,0.03,10795,2022,0.0,4000.0,509546,4000.0
윤호솔,52,0,52,7,0,0,3,5,0,7,42.1,19,26,26.0,199,43,6,1,2,28,0,2,33,6,0,3,4.04,5.53,5.53,5.72,4.37,1.68,0.01,11170,2022,0.0,6350.0,509546,8700.0
류희운,7,0,7,3,0,0,0,0,0,0,6.0,2,2,4.25,30,5,1,0,0,6,2,0,5,0,0,2,3.0,3.0,6.38,6.49,5.83,1.83,0.01,12655,2022,0.0,3300.0,509546,3300.0
