G_x,GS,IP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,연도,기존pid_x,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,수상횟수,현재 연봉,이후 연봉,예측연봉
107,99,862.1,1.529,409.0,186.0,212.0,11.0,97.3,4.15,7.13,0.0,2.13,-1.29,0.0,0.0,0.0,0.0,7.96,10.52,8.78,16.74,0.727,150343,2024,15034,3.03,109,2.43,0.6,458,457,389,71,101,18,1,14,163,66,2,1,58,8,1,83,8,0,3,0.26,0.365,0.419,0.784,0.146,104.8,0.0,14000.0,21000.0,17350.975369310945
120,96,803.0,1.181,686.0,631.0,53.0,2.0,99.7,7.67,-0.56,0.0,1.9,0.0,-0.1,0.95,1.84,0.0,3.47,3.68,9.46,12.93,0.317,102323,2024,10232,3.32,136,3.02,0.3,452,450,403,48,122,19,1,19,200,77,3,0,35,8,2,52,17,0,6,0.303,0.365,0.496,0.861,0.161,115.6,0.0,70000.0,70000.0,69637.82797946497
90,44,421.2,0.234,365.0,341.0,21.0,3.0,99.2,7.73,-0.5,0.0,0.02,0.0,-0.44,0.01,-0.57,0.0,-1.31,-1.98,3.86,2.56,-0.119,141173,2024,14117,0.1,95,0.23,-0.13,166,164,145,9,36,4,0,1,43,9,0,0,17,2,0,48,0,2,0,0.248,0.335,0.297,0.632,0.094,66.8,0.0,4000.0,6500.0,7275.273191865649
18,18,151.0,0.206,136.0,121.0,14.0,1.0,99.3,8.05,3.48,0.0,0.24,0.0,0.06,0.0,0.0,0.0,3.78,18.77,-1.52,2.26,0.345,161623,2024,16162,0.53,29,0.21,0.32,118,118,110,14,31,5,0,7,57,19,0,0,6,2,0,25,2,0,0,0.282,0.331,0.518,0.849,0.152,107.9,0.0,5000.0,70000.0,5153.013274171255
8,1,23.0,0.001,14.0,12.0,2.0,0.0,100.0,5.48,-0.09,0.0,0.08,0.0,0.0,0.0,-0.22,0.0,-0.16,-2.58,0.17,0.01,-0.015,112663,2024,11266,0.07,9,0.09,-0.02,8,8,8,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.25,0.25,0.625,0.875,0.136,99.8,0.0,4600.0,4600.0,4463.085518432515
1,1,6.0,-0.032,5.0,5.0,0.0,0.0,100.0,7.5,-0.09,0.0,0.02,0.0,0.0,-0.14,-0.3,0.0,-0.42,-60.41,0.07,-0.35,-0.038,141153,2024,14115,-0.11,1,-0.07,-0.04,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-151.2,0.0,5000.0,4700.0,4649.853680223124
31,29,248.2,-0.049,253.0,223.0,28.0,2.0,99.2,9.08,1.37,0.0,0.23,0.0,0.25,0.0,0.0,0.0,1.85,2.22,-2.38,-0.53,0.169,104703,2024,10470,0.53,76,0.4,0.13,285,285,249,42,61,5,0,20,126,60,3,0,31,3,0,83,5,0,2,0.245,0.333,0.506,0.839,0.149,106.8,0.0,70000.0,38000.0,67358.32882134532
117,105,914.2,1.513,987.0,919.0,61.0,7.0,99.3,9.64,1.2,0.0,-0.21,0.0,0.1,1.67,5.34,0.0,6.5,7.61,10.06,16.56,0.594,103124,2024,10312,1.53,123,0.96,0.57,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,0.0,20000.0,15000.0,31079.830395144094
135,128,1115.0,1.059,564.0,209.0,332.0,23.0,95.9,4.37,1.35,0.0,-1.65,0.75,0.0,0.0,0.0,0.0,0.45,0.47,11.14,11.59,0.041,129224,2024,12922,3.6,137,3.5,0.1,564,559,489,78,147,24,0,10,201,67,13,3,64,2,3,86,11,3,6,0.301,0.38,0.411,0.791,0.145,104.0,0.0,30000.0,37000.0,43855.69663187055
40,30,264.2,0.064,240.0,224.0,16.0,0.0,100.0,8.16,0.64,0.0,0.96,0.0,0.03,-1.79,-2.92,0.0,-2.2,-7.05,2.9,0.7,-0.201,107074,2024,10707,-0.26,45,-0.05,-0.21,126,122,106,10,22,5,0,1,30,10,0,0,16,0,0,33,2,4,0,0.208,0.311,0.283,0.594,0.079,56.5,0.0,15000.0,25000.0,12557.226957000858
1,1,4.0,0.041,3.0,3.0,0.0,0.0,100.0,6.75,0.46,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.47,11.34,-0.02,0.45,0.043,141464,2024,14146,-0.06,6,-0.1,0.04,9,9,7,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0.0,0.222,0.0,0.222,-0.029,-22.1,0.0,3100.0,3100.0,3564.079304423447
61,0,60.0,0.0,11.0,2.0,9.0,0.0,100.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107834,2024,10783,-0.03,6,-0.03,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.19,-140.8,0.0,18000.0,80000.0,22025.444898174344
19,9,90.1,-0.077,86.0,79.0,6.0,1.0,98.8,8.47,-0.01,0.0,-0.18,0.0,0.0,0.12,-2.42,0.0,-1.76,-13.33,0.91,-0.85,-0.161,148064,2024,14806,-0.08,19,0.08,-0.16,38,38,33,4,8,0,0,0,8,4,0,0,1,4,0,6,0,0,0,0.242,0.342,0.242,0.584,0.094,66.6,0.0,6300.0,4000.0,6011.09450479719
119,113,989.2,-0.297,249.0,237.0,5.0,7.0,97.2,2.2,-2.9,1.1,-1.45,0.0,0.0,0.0,0.0,0.0,-3.25,-3.74,0.0,-3.25,-0.297,145874,2024,14587,1.76,125,2.03,-0.27,543,537,483,89,133,22,7,11,202,49,32,5,50,2,0,71,5,6,2,0.275,0.345,0.418,0.763,0.128,92.2,0.0,25000.0,30000.0,33912.924545390786
132,115,1023.2,1.722,501.0,196.0,287.0,18.0,96.4,4.25,9.13,0.0,0.05,0.26,0.0,0.0,0.0,0.0,9.43,10.13,9.42,18.85,0.861,147655,2024,14765,3.75,134,3.07,0.68,475,466,385,61,97,18,2,9,146,49,16,6,51,25,1,111,5,9,5,0.252,0.371,0.379,0.75,0.143,108.4,0.0,16000.0,20000.0,22175.501275870054
116,104,870.1,0.967,832.0,761.0,59.0,12.0,98.6,8.48,0.42,0.0,-2.88,0.0,-0.04,1.15,3.15,0.0,0.86,1.04,9.72,10.58,0.079,130815,2024,13081,0.42,119,0.31,0.11,414,407,354,39,69,12,0,17,132,50,0,0,45,2,0,144,6,7,6,0.195,0.285,0.373,0.658,0.086,64.9,0.0,5800.0,11000.0,9780.649172099313
2,1,9.0,0.139,5.0,5.0,0.0,0.0,100.0,5.0,1.51,0.01,0.03,0.0,0.0,0.0,0.0,0.0,1.55,74.33,-0.03,1.52,0.141,141725,2024,14172,0.09,3,-0.05,0.14,5,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.2,0.4,-0.022,-16.6,0.0,3500.0,3200.0,3731.6511927030665
