Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,최정원,25 LF,,3,1,16.0,4,4,0,0,100.0,2.25,-0.15,-0.44,0.02,,,,,,-0.57,-1.64,-0.07,-0.64,-0.058,-0.065
0,최정원,25 CF,,27,11,124.0,31,29,2,0,100.0,2.25,-0.54,0.74,0.22,,,,,,0.42,1.20,0.00,0.42,0.043,0.043
0,홍창기,25 RF,,38,36,296.2,52,51,1,0,100.0,1.58,-1.16,0.35,0.49,,,,,,-0.32,-1.22,-1.62,-1.94,-0.033,-0.198
0,오선우,25 LF,,28,15,152.2,42,41,1,0,100.0,2.48,-2.18,0.05,0.19,,,,,,-1.94,-3.98,-0.71,-2.65,-0.197,-0.269
0,오선우,25 RF,,17,12,95.0,23,19,3,1,95.7,2.08,-0.34,0.06,-0.35,,,,,,-0.62,-1.28,-0.47,-1.09,-0.063,-0.111
0,에레디아,25 LF,,42,42,366.0,93,89,3,1,98.9,2.26,3.72,0.35,-0.04,,,,,,4.03,12.89,-1.85,2.18,0.410,0.222
0,이유찬,25 RF,,1,1,8.0,2,2,0,0,100.0,2.25,0.78,-0.28,0.01,,,,,,0.51,1.83,-0.03,0.48,0.052,0.049
0,이유찬,25 LF,,2,2,13.0,3,3,0,0,100.0,2.08,0.59,-0.25,0.02,,,,,,0.35,1.27,-0.09,0.26,0.036,0.027
0,김인태,25 LF,,23,15,118.0,27,27,0,0,100.0,2.06,1.02,-0.75,0.15,,,,,,0.42,0.97,-0.57,-0.15,0.043,-0.015
0,김인태,25 RF,,6,0,8.0,2,2,0,0,100.0,2.25,-0.63,-0.23,0.01,,,,,,-0.85,-1.98,-0.02,-0.87,-0.087,-0.089
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,고종욱,25 LF,,13,11,84.0,25,23,2,0,100.0,2.68,1.73,0.42,0.11,,,,,,2.25,13.52,-0.49,1.76,0.229,0.180
0,이성규,25 RF,,30,19,171.0,37,35,1,1,97.3,1.89,3.04,0.26,-0.22,,,,,,3.07,11.07,-0.73,2.34,0.313,0.239
0,이성규,25 LF,,5,2,24.0,6,6,0,0,100.0,2.25,0.86,0.34,0.03,,,,,,1.23,4.42,-0.09,1.14,0.125,0.116
0,최원영,25 RF,,15,5,46.1,13,13,0,0,100.0,2.53,1.69,-0.39,0.08,,,,,,1.38,2.79,-0.17,1.21,0.140,0.123
0,최원영,25 LF,,30,2,68.2,14,14,0,0,100.0,1.83,0.17,-0.04,0.09,,,,,,0.22,0.44,-0.21,0.01,0.022,0.001
0,최원영,25 CF,,20,3,45.0,18,18,0,0,100.0,3.60,2.85,0.64,0.08,,,,,,3.57,7.23,0.00,3.57,0.363,0.363
0,황성빈,25 LF,,1,0,3.0,1,1,0,0,100.0,3.00,-0.98,,0.00,,,,,,-0.98,-4.26,-0.01,-0.99,-0.100,-0.101
0,황성빈,25 CF,,32,32,254.2,55,51,2,2,96.4,1.87,-0.74,0.14,-0.56,,,,,,-1.16,-5.06,0.00,-1.16,-0.118,-0.118
0,박정우,25 CF,,16,12,82.0,16,16,0,0,100.0,1.76,-1.08,-0.59,0.15,,,,,,-1.52,-5.77,0.00,-1.52,-0.155,-0.155
0,박정우,25 RF,,7,1,22.2,5,5,0,0,100.0,1.99,0.29,0.43,0.04,,,,,,0.76,2.88,-0.10,0.66,0.077,0.067
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,박정우,25 LF,,18,1,37.0,9,9,0,0,100.0,2.19,0.79,0.14,0.05,,,,,,0.98,3.70,-0.10,0.88,0.099,0.089
0,주성원,25 RF,,10,10,78.0,18,18,0,0,100.0,2.08,1.29,-0.16,0.13,,,,,,1.25,8.20,-0.38,0.87,0.128,0.089
0,주성원,25 LF,,2,2,10.0,0,0,0,0,0.0,0.00,-0.01,,0.01,,,,,,0.01,0.04,-0.04,-0.03,0.001,-0.003
0,이정훈,25 LF,,6,2,22.0,1,1,0,0,100.0,0.41,-1.38,-0.21,0.03,,,,,,-1.56,-7.77,-0.08,-1.64,-0.159,-0.167
0,채현우,25 CF,,4,2,18.0,6,6,0,0,100.0,3.00,1.37,0.21,0.03,,,,,,1.61,10.54,0.00,1.61,0.164,0.164
0,채현우,25 RF,,8,2,25.0,5,5,0,0,100.0,1.80,1.25,-0.20,0.04,,,,,,1.08,7.09,-0.07,1.01,0.110,0.103
0,채현우,25 LF,,8,5,42.0,10,9,0,1,90.0,1.93,0.16,0.23,-0.45,,,,,,-0.06,-0.42,-0.14,-0.20,-0.006,-0.021
0,김지찬,25 CF,,48,44,354.2,94,93,1,0,100.0,2.39,-4.93,-0.59,0.63,,,,,,-4.89,-11.73,0.00,-4.89,-0.498,-0.498
0,나성범,25 RF,,25,25,197.0,38,37,1,0,100.0,1.74,-3.31,-0.37,0.33,,,,,,-3.35,-17.88,-1.06,-4.41,-0.341,-0.449
0,천재환,25 LF,,30,4,101.1,28,27,0,1,96.4,2.40,1.67,0.26,-0.38,,,,,,1.55,2.94,-0.42,1.13,0.158,0.115
Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
Rank,Name,Team,WAR,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,천재환,25 CF,,48,31,268.2,75,74,1,0,100.0,2.51,-1.75,0.04,0.48,,,,,,-1.24,-2.34,0.00,-1.24,-0.126,-0.126
0,천재환,25 RF,,19,4,64.2,9,8,1,0,100.0,1.25,-0.97,-0.31,0.11,,,,,,-1.17,-2.22,-0.27,-1.44,-0.119,-0.147
0,박승규,25 RF,,23,14,126.0,16,14,2,0,100.0,1.14,-1.96,0.29,0.21,,,,,,-1.46,-6.38,-0.50,-1.96,-0.149,-0.200
0,박승규,25 LF,,5,3,28.0,10,9,0,1,90.0,2.89,-0.45,-0.35,0.04,,,,,,-0.76,-3.33,-0.12,-0.88,-0.078,-0.090
0,박승규,25 CF,,8,3,31.1,5,5,0,0,100.0,1.44,-0.46,-0.24,0.06,,,,,,-0.64,-2.77,0.00,-0.64,-0.065,-0.065
0,한석현,25 CF,,30,20,186.2,52,49,2,1,98.1,2.46,0.61,-0.42,-0.17,,,,,,0.01,0.03,0.00,0.01,0.001,0.001
0,한석현,25 RF,,10,3,49.1,15,14,1,0,100.0,2.74,1.44,0.20,0.08,,,,,,1.73,5.18,-0.22,1.51,0.176,0.153
0,한석현,25 LF,,7,2,29.1,3,3,0,0,100.0,0.92,0.12,0.21,0.04,,,,,,0.36,1.08,-0.14,0.22,0.037,0.023
