Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
28,정은원,24 2B,-0.007,4,4,31.0,16,6,10,0,100.0,4.65,-0.77,,0.19,0.36,,,,,-0.22,-1.16,0.14,-0.08,-0.02,-0.007,한화 이글스,13137
29,문현빈,24 SS,-0.009,1,0,2.0,2,2,0,0,100.0,9.0,-0.14,,0.02,,,,,,-0.12,-0.17,0.02,-0.1,-0.011,-0.009,한화 이글스,15422
30,이상혁,24 LF,-0.011,4,0,7.0,1,1,0,0,100.0,1.29,-0.11,,0.01,,,,,,-0.1,-0.33,-0.02,-0.12,-0.009,-0.011,한화 이글스,15139
31,이상혁,24 RF,-0.014,8,0,12.0,2,2,0,0,100.0,1.5,-0.2,0.01,0.04,,,,,,-0.15,-0.5,-0.01,-0.16,-0.014,-0.014,한화 이글스,15139
32,노시환,24 3B,-0.024,126,125,1098.1,302,97,196,9,97.0,2.4,-3.43,,3.03,0.56,-0.43,,,,-0.27,-0.28,0.0,-0.27,-0.024,-0.024,한화 이글스,14125
33,장규현,24 C,-0.028,9,0,16.0,10,8,1,1,90.0,5.06,0.0,,-0.44,,,-0.11,0.13,,-0.47,-7.54,0.17,-0.3,-0.043,-0.028,한화 이글스,14811
34,하주석,24 SS,-0.035,42,26,221.2,120,43,74,3,97.5,4.75,-3.03,,0.46,0.07,,,,,-2.5,-5.62,2.12,-0.38,-0.228,-0.035,한화 이글스,10913
35,채은성,24 RF,-0.039,23,22,181.0,40,40,0,0,100.0,1.99,0.99,-1.06,0.55,,,,,,0.47,0.54,-0.9,-0.43,0.043,-0.039,한화 이글스,11215
36,장진혁,24 LF,-0.047,19,8,86.0,23,23,0,0,100.0,2.41,-0.99,0.8,0.1,,,,,,-0.09,-0.13,-0.42,-0.51,-0.008,-0.047,한화 이글스,12583
37,이진영,24 RF,-0.051,13,5,55.0,13,12,0,1,92.3,1.96,0.52,-0.47,-0.34,,,,,,-0.29,-1.0,-0.26,-0.55,-0.027,-0.051,한화 이글스,12539
38,문현빈,24 2B,-0.059,53,38,337.0,182,68,113,1,99.5,4.83,-4.16,,1.53,0.31,,,,,-2.31,-3.23,1.67,-0.64,-0.211,-0.059,한화 이글스,15422
39,황영묵,24 SS,-0.068,46,29,265.0,123,48,71,4,96.7,4.04,-1.52,,0.34,-2.03,,,,,-3.2,-3.75,2.46,-0.74,-0.292,-0.068,한화 이글스,16110
40,권광민,24 LF,-0.077,9,8,64.0,18,18,0,0,100.0,2.53,-0.67,0.12,0.07,,,,,,-0.48,-3.66,-0.36,-0.84,-0.044,-0.077,한화 이글스,13676
41,장진혁,24 CF,-0.09,73,66,562.1,144,142,1,1,99.3,2.29,-2.07,0.42,0.67,,,,,,-0.98,-1.43,0.0,-0.98,-0.09,-0.09,한화 이글스,12583
