,Unnamed: 0,선수,팀,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,pid,연도,기존pid,포지션,연봉(만원),팀연봉순위,전체연봉순위,계약금(만원)분할,연봉 총수령액(만원)
68,68,이찬혁,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129096,2021,12909,,3100.0,60.0,573.0,0.0,3100.0
69,69,채지선,LG 트윈스,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,113876,2021,11387,,3500.0,55.0,491.0,0.0,3500.0
70,70,이우찬,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107496,2021,10749,,5000.0,45.0,401.0,0.0,5000.0
71,71,고우석,LG 트윈스,0.0,5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,129076,2021,12907,,18000.0,18.0,132.0,0.0,18000.0
72,72,이상규,LG 트윈스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,132456,2021,13245,,4000.0,51.0,455.0,0.0,4000.0
73,73,김지용,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,107476,2021,10747,,11000.0,26.0,197.0,0.0,11000.0
74,74,김진수,LG 트윈스,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,147816,2021,14781,,13000.0,24.0,174.0,0.0,13000.0
75,75,이상영,LG 트윈스,0.0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,141356,2021,14135,,3100.0,60.0,573.0,0.0,3100.0
76,76,신민재,LG 트윈스,-0.03,32,-0.05,0.02,27,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0,0.13,0.259,0.13,0.389,0.014,12.0,130566,2021,13056,2루수,5500.0,43.0,390.0,0.0,5500.0
77,77,장준원,LG 트윈스,-0.05,5,-0.08,0.03,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.179,-157.2,112146,2021,11214,3루수,4500.0,50.0,429.0,0.0,4500.0
