Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,포지션
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,
20,박상언,24 C,0.09,26,9,113.0,97,91,5,1,99.0,7.65,-0.15,,-0.09,,,-1.29,1.99,,-0.14,-0.76,1.13,0.99,-0.013,0.09,포수
21,김민식,24 C,0.064,40,30,264.2,240,224,16,0,100.0,8.16,0.64,,0.96,,0.03,-1.79,-2.92,,-2.2,-7.05,2.9,0.7,-0.201,0.064,포수
22,김준태,24 C,0.054,18,3,57.1,41,39,2,0,100.0,6.44,-0.01,,0.21,,,-0.44,0.34,,0.0,-0.02,0.6,0.6,0.0,0.054,포수
23,김시앙,24 C,0.034,6,2,19.1,20,20,0,0,100.0,9.31,-0.09,,0.07,,,,0.32,,0.2,4.86,0.17,0.37,0.019,0.034,포수
24,안승한,24 C,0.025,2,1,9.1,7,7,0,0,100.0,6.75,0.0,,0.03,,,-0.14,0.45,,0.2,7.37,0.07,0.28,0.019,0.025,포수
25,장승현,24 C,0.015,9,7,58.0,59,57,2,0,100.0,9.16,-0.24,,0.21,,0.05,-0.21,-0.27,,-0.38,-6.16,0.55,0.17,-0.035,0.015,포수
26,장규빈,24 C,0.009,3,0,7.0,9,8,1,0,100.0,11.57,-0.09,,0.03,,,,0.13,,0.02,1.11,0.07,0.1,0.002,0.009,포수
27,류현준,24 C,0.007,1,0,3.0,4,3,1,0,100.0,12.0,0.0,,0.01,,,,0.07,,0.06,4.18,0.02,0.08,0.005,0.007,포수
28,신용석,24 C,0.006,1,0,3.0,4,4,0,0,100.0,12.0,,,0.01,,,,0.04,,0.04,2.64,0.02,0.06,0.003,0.006,포수
29,김민수,24 C,0.001,8,1,23.0,14,12,2,0,100.0,5.48,-0.09,,0.08,,,0.0,-0.22,,-0.16,-2.58,0.17,0.01,-0.015,0.001,포수
30,강태율,24 C,-0.003,10,3,28.0,31,29,1,1,96.8,9.64,0.0,,-0.4,,,-0.12,0.4,,-0.25,-3.55,0.22,-0.03,-0.023,-0.003,포수
31,강백호,24 C,-0.004,30,19,169.2,156,137,17,2,98.7,8.17,-0.12,,-0.39,,,0.95,-3.71,,-2.15,-2.15,2.11,-0.04,-0.197,-0.004,포수
32,박민준,24 C,-0.008,4,1,10.0,10,10,0,0,100.0,9.0,0.0,,0.04,,,,-0.28,,-0.16,-4.65,0.07,-0.09,-0.015,-0.008,포수
33,안중열,24 C,-0.015,9,4,45.0,42,39,3,0,100.0,8.4,0.0,,0.16,,,-0.2,-0.92,,-0.69,-9.89,0.53,-0.16,-0.063,-0.015,포수
34,강승구,24 C,-0.027,5,0,7.0,6,6,0,0,100.0,7.71,-0.09,,0.03,,,,-0.39,,-0.34,-9.82,0.05,-0.29,-0.031,-0.027,포수
35,장규현,24 C,-0.028,9,0,16.0,10,8,1,1,90.0,5.06,0.0,,-0.44,,,-0.11,0.13,,-0.47,-7.54,0.17,-0.3,-0.043,-0.028,포수
36,김도환,24 C,-0.032,1,1,6.0,5,5,0,0,100.0,7.5,-0.09,,0.02,,,-0.14,-0.3,,-0.42,-60.41,0.07,-0.35,-0.038,-0.032,포수
37,서동욱,24 C,-0.037,32,5,95.0,86,75,10,1,98.8,8.05,-0.15,,-0.16,,0.05,0.18,-1.35,,-1.03,-4.5,0.62,-0.41,-0.094,-0.037,포수
38,강현우,24 C,-0.038,17,5,81.0,76,71,3,2,97.4,8.22,-0.24,,-0.71,,,0.35,-0.9,,-1.23,-9.84,0.82,-0.41,-0.112,-0.038,포수
39,박성빈,24 C,-0.047,12,4,37.0,27,24,2,1,96.3,6.32,0.0,,-0.37,,,-0.12,-0.38,,-0.76,-9.08,0.24,-0.52,-0.069,-0.047,포수
40,김범석,24 C,-0.051,13,5,47.1,50,45,5,0,100.0,9.51,-0.09,,0.17,,,-0.26,-1.26,,-1.06,-2.19,0.5,-0.56,-0.097,-0.051,포수
41,윤준호,24 C,-0.056,3,0,9.0,5,5,0,0,100.0,5.0,0.0,,0.03,,,,-1.02,,-0.68,-32.69,0.07,-0.61,-0.062,-0.056,포수
42,이주헌,24 C,-0.077,3,1,14.0,20,20,0,0,100.0,12.86,0.0,,0.05,,,-0.42,-0.88,,-0.99,-47.48,0.14,-0.85,-0.09,-0.077,포수
43,조형우,24 C,-0.077,19,9,90.1,86,79,6,1,98.8,8.47,-0.01,,-0.18,,,0.12,-2.42,,-1.76,-13.33,0.91,-0.85,-0.161,-0.077,포수
44,김재성,24 C,-0.089,7,2,29.0,23,20,3,0,100.0,7.14,-0.09,,0.1,,0.05,-0.82,-0.75,,-1.28,-18.49,0.31,-0.97,-0.117,-0.089,포수
45,박준형,24 C,-0.094,4,2,12.1,7,7,0,0,100.0,5.11,0.0,,0.04,,,-0.24,-1.36,,-1.15,-41.35,0.12,-1.03,-0.105,-0.094,포수
