선수,연도,기존pid,연봉,이후연봉,예측연봉,포지션,연봉순서,개선순서,2024FA,외국인
박정우,2024,12869,3800.0,6500.0,4150.1,투수,261,410,False,False
김사윤,2024,11364,3400.0,4000.0,6492.46,투수,338,294,False,False
박준표,2024,11070,8000.0,7500.0,6043.4,투수,232,307,False,False
유지성,2024,14607,3100.0,3200.0,3628.3,투수,423,441,False,False
김민주,2024,16082,3000.0,3100.0,3381.8,투수,451,468,False,False
김민재,2024,16083,3000.0,3100.0,5647.1,투수,460,325,False,False
임기영,2024,10909,25000.0,30000.0,18008.1,투수,89,135,True,False
김건국,2024,12944,4000.0,4500.0,4460.4,투수,325,391,False,False
이형범,2024,11159,7000.0,6500.0,5928.8,투수,260,313,False,False
김현수,2024,14162,4500.0,4500.0,6177.2,투수,324,302,False,False
김대유,2024,10706,11000.0,12000.0,10263.2,투수,172,217,False,False
윤중현,2024,13122,6500.0,6000.0,7542.6,투수,270,258,False,False
쿠에바스,2024,13942,100000.0,140000.0,118102.1,투수,20,26,False,True
엄상백,2024,11318,25000.0,90000.0,48800.9,투수,41,55,True,False
박영현,2024,15089,16000.0,24000.0,24671.336,투수,98,106,False,False
김민,2024,13167,5000.0,11000.0,13159.73,투수,186,178,False,False
고영표,2024,11308,200000.0,200000.0,74072.228,투수,7,41,False,False
우규민,2024,10523,22000.0,20000.0,28916.382,투수,124,95,True,False
김민수,2024,11317,16000.0,21000.0,15910.16,투수,106,146,False,False
육청명,2024,16028,3000.0,3500.0,6874.42,투수,398,280,False,False
조이현,2024,11284,6000.0,5700.0,6367.42,투수,282,298,False,False
박시영,2024,10737,9000.0,5000.0,8673.7,투수,300,234,False,False
소형준,2024,14600,22000.0,22000.0,32784.28,투수,104,86,False,False
손동현,2024,14108,12000.0,10000.0,10452.5,투수,196,212,False,False
이선우,2024,14111,4000.0,3800.0,4509.0,투수,358,389,False,False
원상현,2024,16027,3000.0,4000.0,6187.68,투수,344,301,False,False
이상동,2024,14109,6000.0,5900.0,6763.78,투수,278,284,False,False
박세진,2024,12572,3500.0,3700.0,5349.0,투수,366,345,False,False
성재헌,2024,14667,3000.0,3600.0,5274.64,투수,375,346,False,False
이채호,2024,13130,5300.0,5000.0,4721.5,투수,306,372,False,False
주권,2024,11323,20000.0,20000.0,15633.2,투수,113,149,False,False
강건,2024,15527,6500.0,3500.0,5382.1,투수,395,340,False,False
전용주,2024,14106,3200.0,3600.0,4081.1,투수,373,413,False,False
한차현,2024,14776,3100.0,3500.0,3639.0,투수,394,439,False,False
문용익,2024,12885,6300.0,5800.0,6369.6,투수,279,297,False,False
원태인,2024,14113,43000.0,63000.0,101211.066,투수,54,34,False,False
레예스,2024,15861,78000.0,98000.0,105019.498,투수,38,33,False,True
이승현,2024,14798,7000.0,12000.0,13808.91,투수,171,169,False,False
임창민,2024,10452,20000.0,20000.0,21598.08,투수,126,118,False,False
최지광,2024,12934,14000.0,17000.0,17018.29,투수,137,143,False,False
김재윤,2024,11489,40000.0,80000.0,37039.328,투수,47,75,False,False
김태훈,2024,10871,17000.0,24000.0,20577.672,투수,99,122,False,False
황동재,2024,14615,4100.0,6200.0,7855.49,투수,265,250,False,False
이승현,2024,10527,17000.0,24000.0,19590.9,투수,100,127,False,False
백정현,2024,10363,75000.0,75000.0,65440.5,투수,48,46,False,False
이상민,2024,11169,6500.0,8500.0,8056.65,투수,212,246,False,False
송은범,2024,10137,5000.0,6000.0,7150.2,투수,273,275,False,False
최하늘,2024,13152,4100.0,6000.0,5614.62,투수,271,328,False,False
김대우,2024,10685,10000.0,10000.0,9145.9,투수,197,231,False,False
육선엽,2024,15864,3000.0,3500.0,4336.9,투수,393,399,False,False
오승환,2024,10367,40000.0,80000.0,32427.964,투수,45,87,False,False
홍원표,2024,14614,3300.0,3550.0,6667.7,투수,380,287,False,False
최성훈,2024,10851,10000.0,7800.0,9690.6,투수,224,223,False,False
양현,2024,10730,9000.0,7000.0,8447.5,투수,249,236,False,False
이호성,2024,15496,23200.0,4000.0,15128.8,투수,340,156,False,False
최채흥,2024,13156,15000.0,13000.0,11375.5,투수,164,198,False,False
장필준,2024,11404,7000.0,4000.0,6176.8,투수,349,303,False,False
김대호,2024,15882,3000.0,3300.0,3133.1,투수,414,488,False,False
김윤수,2024,13162,7000.0,7000.0,5581.3,투수,246,329,False,False
이승민,2024,14616,4100.0,5000.0,5067.8,투수,302,355,False,False
이재익,2024,13244,8200.0,6200.0,7451.2,투수,266,266,False,False
