Name_x,포지션,fid_G,fid_GS,fid_IP,PO,Ass,E,RF9,수비 관련 득점 기여도.8,수비 관련 득점 기여도.9,pid,연봉(만원),WAR,WAR당 연봉,bat_G,PA,ePA,AB,R_y,H_y,2B_y,3B_y,HR_y,RBI,SB,CS,BB_y,HP_y,IB_y,SO_y,GDP,SH,SF,팀
노경은,투수,74,0,83.0,6,8,1,1.52,0.0,0.0,10203,17000,1.64,10340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
임준섭,투수,39,0,32.2,1,2,0,0.83,0.0,0.0,10795,4000,-0.12,-33228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SSG 랜더스
김정민,좌익수,1,0,1.0,0,0,0,0.0,-0.26,-4.69,15463,3000,0.0,-611799,8,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,SSG 랜더스
김주원,유격수,127,122,1030.0,177,313,29,4.28,-0.74,-0.84,14765,9000,2.22,4049,127,474,466,403,56,94,9,2,10,54,15,3,44,15,1,106,6,8,4,NC 다이노스
박민우,2루수,114,108,874.2,196,264,15,4.73,3.53,4.1,11137,110000,5.25,20953,124,509,501,452,76,143,20,7,2,46,26,7,40,9,3,57,13,5,3,NC 다이노스
박세혁,포수,86,72,620.0,524,41,1,8.2,1.29,2.1,10891,70000,0.88,79265,88,283,277,242,35,51,9,3,6,32,1,1,30,4,0,43,3,6,1,NC 다이노스
서호철,3루수,96,78,690.0,66,133,10,2.6,4.78,6.04,14220,4500,2.85,1581,114,435,429,397,50,114,17,3,5,41,4,5,20,8,0,51,9,6,4,NC 다이노스
김형준,포수,24,19,180.0,160,7,2,8.35,1.59,8.8,13081,5000,0.9,5557,26,82,81,72,10,17,2,0,6,13,0,0,8,1,0,24,3,1,0,NC 다이노스
서호철,2루수,30,23,190.2,44,64,4,5.1,2.1,2.65,14220,4500,2.85,1581,114,435,429,397,50,114,17,3,5,41,4,5,20,8,0,51,9,6,4,NC 다이노스
김한별,유격수,47,22,232.1,24,74,3,3.8,1.4,2.55,14716,3100,-0.51,-6029,79,105,103,97,8,21,0,1,0,4,0,3,4,2,0,23,6,2,0,NC 다이노스
천재환,좌익수,15,2,46.0,15,0,0,2.93,2.68,4.96,13261,3100,0.31,10129,78,179,177,163,12,39,7,1,2,17,2,3,8,4,0,44,5,2,2,NC 다이노스
한석현,좌익수,20,6,77.0,20,0,0,2.34,2.32,12.39,13250,3900,-0.18,-22228,27,66,64,60,5,12,1,0,0,2,2,1,4,0,0,20,2,2,0,NC 다이노스
도태훈,3루수,56,36,347.2,26,62,3,2.28,1.85,2.28,12560,5000,2.38,2101,117,302,294,239,41,56,6,0,5,23,2,1,38,17,1,48,8,7,1,NC 다이노스
김성욱,좌익수,31,19,167.2,37,0,0,1.99,2.46,3.81,11153,10000,0.34,29013,93,204,201,179,28,40,10,0,6,16,6,1,16,5,0,63,7,3,1,NC 다이노스
천재환,중견수,37,27,259.2,72,2,0,2.56,1.59,2.94,13261,3100,0.31,10129,78,179,177,163,12,39,7,1,2,17,2,3,8,4,0,44,5,2,2,NC 다이노스
도태훈,2루수,17,7,79.1,26,20,0,5.22,1.09,1.35,12560,5000,2.38,2101,117,302,294,239,41,56,6,0,5,23,2,1,38,17,1,48,8,7,1,NC 다이노스
