Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,WAR▼
Rank,Name,Team,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼
51,정현승,25 RF,0.01,3,0.07,-0.06,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,0.371,363.6,0.01
52,한승현,25 RF,-0.01,15,-0.21,0.21,14,14,12,1,1,0,0,0,1,1,0,0,1,0,0,4,0,0,1,0.083,0.143,0.083,0.226,-0.060,-49.3,-0.01
53,김태근,25 LF,-0.02,11,0.08,-0.10,14,14,12,2,4,0,0,0,4,0,0,0,2,0,0,4,0,0,0,0.333,0.429,0.333,0.762,0.154,119.8,-0.02
54,최성민,25 RF,-0.02,28,-0.24,0.22,19,18,17,3,2,0,0,0,2,2,1,0,1,0,0,5,0,1,0,0.118,0.167,0.118,0.285,-0.041,-34.6,-0.02
55,오태곤,25 LF,-0.02,76,0.09,-0.11,166,163,140,18,30,6,0,3,45,20,16,4,21,1,0,45,3,3,1,0.214,0.319,0.321,0.640,0.100,83.8,-0.02
56,홍현빈,25 LF,-0.02,3,-0.02,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.166,-121.3,-0.02
57,함수호,25 LF,-0.02,1,-0.03,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.166,-151.2,-0.02
58,김범준,25 LF,-0.03,1,-0.03,0.00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.166,-140.3,-0.03
