선수,연봉(만원),WAR,WAR당 연봉,팀,pid
양창섭,4700,-0.12,-38701,삼성 라이온즈,13157
허윤동,4700,0.18,26768,삼성 라이온즈,14613
김재성,4500,1.39,3241,삼성 라이온즈,11344
최충연,4500,0.08,54829,삼성 라이온즈,12530
문용익,4500,0.36,12640,삼성 라이온즈,12885
이승민,4100,0.20,20766,삼성 라이온즈,14616
임대한,4000,-0.13,-31097,삼성 라이온즈,12558
공민규,4000,0.06,64221,삼성 라이온즈,13164
이재희,4000,-,-,삼성 라이온즈,14799
김성표,3800,-0.41,-9165,삼성 라이온즈,11109
김성윤,3800,-0.29,-13238,삼성 라이온즈,12936
이재익,3700,-0.05,-77914,삼성 라이온즈,13244
이태훈,3500,-0.07,-48906,삼성 라이온즈,13160
이수민,3300,0.02,154082,삼성 라이온즈,11196
박세웅,3300,0.01,527430,삼성 라이온즈,12651
안주형,3300,0.16,20501,삼성 라이온즈,12988
박주혁,3300,0.13,24605,삼성 라이온즈,14668
김현준,3300,2.53,1305,삼성 라이온즈,14867
구준범,3200,-,-,삼성 라이온즈,12645
황동재,3100,-0.27,-11608,삼성 라이온즈,14615
김동진,3100,-0.07,-47145,삼성 라이온즈,14863
박정준,3000,-0.06,-47714,삼성 라이온즈,11220
최하늘,3000,0.30,10169,삼성 라이온즈,13152
윤정빈,3000,0.00,863024,삼성 라이온즈,13161
이병헌,3000,0.20,14712,삼성 라이온즈,14117
이해승,3000,-0.19,-15625,삼성 라이온즈,14121
홍무원,3000,-,-,삼성 라이온즈,14800
주한울,3000,-,-,삼성 라이온즈,14802
이재현,3000,0.06,51246,삼성 라이온즈,15034
김영웅,3000,0.00,-1001583,삼성 라이온즈,15035
김재혁,3000,0.33,9105,삼성 라이온즈,15036
차동영,3000,-,-,삼성 라이온즈,15037
신정환,3000,-,-,삼성 라이온즈,15038
김서준,3000,-0.04,-74491,삼성 라이온즈,15039
조민성,3000,0.07,46131,삼성 라이온즈,15040
강도훈,3000,-,-,삼성 라이온즈,15041
김상민,3000,-,-,삼성 라이온즈,15042
장재혁,3000,-,-,삼성 라이온즈,15043
윤정훈,3000,-,-,삼성 라이온즈,15044
김태우,-,-,-,삼성 라이온즈,13158
서주원,-,-,-,삼성 라이온즈,13165
김선우,-,-,-,삼성 라이온즈,13260
오상민,-,-,-,삼성 라이온즈,14118
홍승원,-,-,-,삼성 라이온즈,14864
김세민,-,-,-,삼성 라이온즈,14865
이기용,-,-,-,삼성 라이온즈,14868
김광현,810000,6.41,126458,SSG 랜더스,10126
추신수,270000,3.13,86338,SSG 랜더스,14888
한유섬,240000,4.46,53779,SSG 랜더스,10815
박종훈,180000,-0.01,-35434884,SSG 랜더스,10131
문승원,160000,-0.17,-958669,SSG 랜더스,10783
최정,120000,5.71,21009,SSG 랜더스,10106
폰트,110000,5.55,19834,SSG 랜더스,14759
이재원,100000,0.16,619383,SSG 랜더스,10082
노바,75000,-0.47,-158225,SSG 랜더스,15007
최주환,65000,-0.39,-168079,SSG 랜더스,10182
크론,60000,-0.06,-1073067,SSG 랜더스,15006
라가레스,40000,1.84,21756,SSG 랜더스,15151
김상수,30000,-0.15,-205520,SSG 랜더스,10427
김성현,20000,0.39,51690,SSG 랜더스,10636
서진용,18500,0.77,24084,SSG 랜더스,10784
모리만도,18000,3.05,5894,SSG 랜더스,15149
김강민,16000,2.18,7341,SSG 랜더스,10108
김태훈,15000,-0.16,-91601,SSG 랜더스,10133
최지훈,15000,6.49,2311,SSG 랜더스,14587
박성한,14000,6.87,2037,SSG 랜더스,12922
김택형,12500,0.36,34273,SSG 랜더스,11373
이태양,12000,2.13,5637,SSG 랜더스,10609
박민호,12000,-0.07,-160801,SSG 랜더스,11236
오태곤,10500,1.18,8932,SSG 랜더스,10249
장지훈,10500,0.09,116444,SSG 랜더스,14804
노경은,10000,2.13,4695,SSG 랜더스,10203
김민식,9500,1.01,9415,SSG 랜더스,10707
이흥련,9000,-0.02,-436038,SSG 랜더스,11108
정성곤,7500,-0.05,-160250,SSG 랜더스,11321
조이현,6500,-,-,SSG 랜더스,11284
최민준,6500,0.25,25995,SSG 랜더스,13126
오원석,6500,1.76,3699,SSG 랜더스,14581
하재훈,5300,0.07,73095,SSG 랜더스,14147
