선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도,팀연봉순위,전체연봉순위
유로결,3200,-0.94,-3415,한화 이글스,14126,2021,45,437
정기훈,3200,-,-,한화 이글스,12985,2021,46,438
김태연,3200,2.75,1163,한화 이글스,12585,2021,47,439
박상언,3200,-0.02,-207407,한화 이글스,12587,2021,48,440
이도윤,3200,-0.44,-7260,한화 이글스,11414,2021,49,441
윤호솔,3100,-0.11,-27066,한화 이글스,11170,2021,50,466
허관회,3100,-0.43,-7280,한화 이글스,14204,2021,51,467
김현민,3100,-0.14,-22924,한화 이글스,14209,2021,52,468
김지수,3100,-0.18,-17182,한화 이글스,12662,2021,53,469
박한결,3100,-,-,한화 이글스,11420,2021,54,470
김규연,3000,-,-,한화 이글스,14871,2021,55,511
최이경,3000,-,-,한화 이글스,14715,2021,56,512
박준범,3000,-,-,한화 이글스,14702,2021,57,513
문승진,3000,-,-,한화 이글스,14874,2021,58,514
조현진,3000,-,-,한화 이글스,14877,2021,59,515
안창호,3000,-,-,한화 이글스,14878,2021,60,516
이종완,3000,-,-,한화 이글스,14879,2021,61,517
김승일,3000,-,-,한화 이글스,14711,2021,62,518
이준기,3000,-,-,한화 이글스,14875,2021,63,519
안진,3000,-,-,한화 이글스,14876,2021,64,520
배동현,3000,0.27,11191,한화 이글스,14809,2021,65,521
장지승,3000,-0.52,-5823,한화 이글스,14880,2021,66,522
정민규,3000,-0.28,-10885,한화 이글스,14813,2021,67,523
송호정,3000,-0.37,-8177,한화 이글스,14812,2021,68,524
장규현,3000,-0.02,-148323,한화 이글스,14811,2021,69,525
김기중,3000,0.38,7842,한화 이글스,14808,2021,70,526
조은,3000,-,-,한화 이글스,14810,2021,71,527
김태욱,3000,-,-,한화 이글스,12923,2021,72,528
이승관,3000,-0.27,-11231,한화 이글스,13135,2021,73,529
이원석,3000,-1.05,-2864,한화 이글스,13138,2021,74,530
권용우,3000,-,-,한화 이글스,12582,2021,75,531
강상원,3000,-0.39,-7696,한화 이글스,12564,2021,76,532
정인욱,3000,-0.05,-60924,한화 이글스,10376,2021,77,533
남지민,3000,0.02,136900,한화 이글스,14619,2021,78,534
신지후,3000,0.00,-747947,한화 이글스,14620,2021,79,535
한승주,3000,-,-,한화 이글스,14621,2021,80,536
윤산흠,3000,-0.03,-108703,한화 이글스,14196,2021,81,537
이충호,3000,-0.19,-15971,한화 이글스,11116,2021,82,538
김현수,100000,3.91,25568,LG 트윈스,10187,2021,1,9
켈리,70000,5.63,12440,LG 트윈스,13934,2021,2,23
오지환,60000,4.45,13475,LG 트윈스,10475,2021,3,28
라모스,60000,0.82,73070,LG 트윈스,14592,2021,4,29
수아레즈,40000,4.52,8848,LG 트윈스,14753,2021,5,58
김민성,40000,2.71,14756,LG 트윈스,10238,2021,6,59
보어,30000,-0.46,-65869,LG 트윈스,14988,2021,7,71
유강남,30000,2.43,12359,LG 트윈스,10753,2021,8,72
채은성,30000,2.71,11059,LG 트윈스,11215,2021,9,73
차우찬,30000,0.23,129868,LG 트윈스,10381,2021,10,74
송은범,27000,0.54,50348,LG 트윈스,10137,2021,11,88
진해수,25000,0.82,30510,LG 트윈스,10075,2021,12,95
서건창,22500,3.06,7347,LG 트윈스,10855,2021,13,104
임찬규,22000,1.79,12281,LG 트윈스,10652,2021,14,105
이천웅,19000,-0.45,-42054,LG 트윈스,10935,2021,15,118
고우석,18000,2.52,7152,LG 트윈스,12907,2021,16,120
정우영,18000,2.49,7243,LG 트윈스,14136,2021,17,121
이형종,18000,0.62,28969,LG 트윈스,12516,2021,18,122
함덕주,16500,0.26,62804,LG 트윈스,11094,2021,19,131
정주현,14000,0.65,21659,LG 트윈스,10480,2021,20,146
최동환,12000,-0.03,-355575,LG 트윈스,10535,2021,21,159
임정우,10500,-,-,LG 트윈스,10713,2021,22,175
김용의,10000,0.67,14999,LG 트윈스,10466,2021,23,180
홍창기,10000,6.75,1483,LG 트윈스,12546,2021,24,181
이상호,9000,-0.03,-259701,LG 트윈스,11147,2021,25,203
이성우,8000,-0.21,-38678,LG 트윈스,10004,2021,26,215
김대현,8000,-0.14,-58533,LG 트윈스,12532,2021,27,216
최성훈,7200,0.39,18304,LG 트윈스,10851,2021,28,236
이민호,7000,2.13,3282,LG 트윈스,14589,2021,29,238
김지용,7000,0.17,40875,LG 트윈스,10747,2021,30,239
구본혁,6300,-0.08,-80878,LG 트윈스,14140,2021,31,262
신민재,5500,-0.08,-67208,LG 트윈스,13056,2021,32,285
안익훈,5500,-0.41,-13412,LG 트윈스,11347,2021,33,286
이우찬,5000,-0.21,-23268,LG 트윈스,10749,2021,34,296
고효준,5000,-0.01,-877908,LG 트윈스,10124,2021,35,297
김호은,5000,-0.20,-25208,LG 트윈스,12554,2021,36,298
김윤식,5000,0.22,22665,LG 트윈스,14588,2021,37,299
이정용,5000,1.31,3815,LG 트윈스,14134,2021,38,300
장준원,4500,-0.03,-135302,LG 트윈스,11214,2021,39,323
이상규,4000,-0.03,-120737,LG 트윈스,13245,2021,40,350
김대유,4000,1.93,2070,LG 트윈스,10706,2021,41,351
백승현,4000,0.64,6260,LG 트윈스,13009,2021,42,352
손호영,3700,-0.22,-16482,LG 트윈스,14590,2021,43,372
채지선,3500,0.14,25473,LG 트윈스,11387,2021,44,385
류원석,3300,0.10,34091,LG 트윈스,13251,2021,45,421
이재원,3200,0.75,4268,LG 트윈스,13104,2021,46,442
한석현,3200,0.09,34781,LG 트윈스,13250,2021,47,443
한선태,3200,-,-,LG 트윈스,14144,2021,48,444
김주성,3100,-0.16,-19525,LG 트윈스,12545,2021,49,471
이찬혁,3100,-0.02,-133633,LG 트윈스,12909,2021,50,472
박재욱,3100,-,-,LG 트윈스,12512,2021,51,473
김재성,3100,-0.58,-5349,LG 트윈스,11344,2021,52,474
오석주,3100,-0.05,-66938,LG 트윈스,12860,2021,53,475
김태형,3100,-0.02,-188092,LG 트윈스,12863,2021,54,476
이상영,3100,0.51,6039,LG 트윈스,14135,2021,55,477
문성주,3100,0.36,8625,LG 트윈스,13112,2021,56,478
최민창,3100,0.00,-4591837,LG 트윈스,11351,2021,57,479
함창건,3000,-,-,LG 트윈스,14680,2021,58,539
이정우,3000,-,-,LG 트윈스,14678,2021,59,540
하영진,3000,-,-,LG 트윈스,14671,2021,60,541
강효종,3000,-,-,LG 트윈스,14780,2021,61,542
김진수,3000,0.04,84095,LG 트윈스,14781,2021,62,543
조건희,3000,-,-,LG 트윈스,14782,2021,63,544
이영빈,3000,0.26,11669,LG 트윈스,14783,2021,64,545
김형욱,3000,-,-,LG 트윈스,14844,2021,65,546
김지용,3000,-,-,LG 트윈스,14843,2021,66,547
김유민,3000,-,-,LG 트윈스,14842,2021,67,548
김대현,3000,-,-,LG 트윈스,14841,2021,68,549
이믿음,3000,-,-,LG 트윈스,14847,2021,69,550
송승기,3000,-,-,LG 트윈스,14846,2021,70,551
박민호,3000,-,-,LG 트윈스,14845,2021,71,552
최우혁,3000,-,-,LG 트윈스,13111,2021,72,553
김기연,3000,-,-,LG 트윈스,12549,2021,73,554
이동규,3000,-,-,LG 트윈스,12553,2021,74,555
배재준,3000,0.35,8565,LG 트윈스,12697,2021,75,556
이주형,3000,0.07,40684,LG 트윈스,14591,2021,76,557
강민,3000,-,-,LG 트윈스,14660,2021,77,558
조용근,3000,-,-,LG 트윈스,14670,2021,78,559
문보경,3000,1.78,1688,LG 트윈스,14137,2021,79,560
임지섭,3000,-,-,LG 트윈스,11211,2021,80,561
임준형,3000,0.76,3964,LG 트윈스,14142,2021,81,562
