Rank,Name,Team,Sort▼,G,GS,IP,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,팀,pid
Rank,Name,Team,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼,,
73,힐리,21 1B,-0.228,62,59,527.0,526,479,42,5,99.0,8.9,2.92,,-0.06,,-0.12,,,,2.74,5.88,-5.04,-2.3,0.272,-0.228,한화 이글스,14761
74,조한민,21 SS,-0.234,6,3,27.0,10,2,6,2,80.0,2.67,-1.65,,-0.46,-0.54,,,,,-2.64,-7.31,0.28,-2.36,-0.262,-0.234,한화 이글스,14210
75,노수광,21 CF,-0.249,41,37,311.0,99,96,3,0,100.0,2.86,-2.61,-0.22,0.32,,,,,,-2.52,-6.97,0.0,-2.52,-0.249,-0.249,한화 이글스,11268
76,임종찬,21 RF,-0.366,40,38,329.0,71,70,0,1,98.6,1.91,-1.39,-0.81,-0.05,,,,,,-2.25,-7.71,-1.44,-3.69,-0.223,-0.366,한화 이글스,14706
77,최재훈,21 1B,,1,0,2.0,2,2,0,0,100.0,9.0,0.07,,0.0,,,,,,0.07,0.09,,,0.007,,한화 이글스,10170
77,윤대경,21 P,,43,9,77.2,6,4,2,0,100.0,0.7,,,,,,,,,0.0,,,,0.0,,한화 이글스,11110
77,송호정,21 LF,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.01,,,0.0,,한화 이글스,14812
77,장민재,21 P,,12,6,29.1,2,0,2,0,100.0,0.61,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,10610
77,카펜터,21 P,,31,30,170.0,25,6,16,3,88.0,1.16,,,,,,,,,0.0,,,,0.0,,한화 이글스,14760
77,강경학,21 P,,1,0,0.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,10676
77,임준섭,21 P,,13,0,10.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,10795
77,송호정,21 2B,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.02,,,0.0,,한화 이글스,14812
77,김종수,21 P,,47,0,46.2,6,2,4,0,100.0,1.16,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,11117
77,이원석,21 RF,,1,0,1.0,0,0,0,0,0.0,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,,한화 이글스,13138
77,신정락,21 P,,20,0,20.0,5,2,3,0,100.0,2.25,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,10516
77,송윤준,21 P,,16,0,12.2,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,10748
77,김기탁,21 P,,17,0,12.1,0,0,0,0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,12875
77,정우람,21 P,,50,0,44.2,6,1,5,0,100.0,1.21,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,10156
77,윤호솔,21 P,,54,0,48.2,1,0,0,1,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,11170
77,강재민,21 P,,58,0,63.1,11,5,6,0,100.0,1.56,,,,,,,,,0.0,0.0,,,0.0,,한화 이글스,14708
1,오지환,21 SS,1.738,132,129,1060.2,547,175,359,13,97.6,4.53,7.69,,-0.28,-0.34,,,,,7.07,7.6,10.46,17.53,0.701,1.738,LG 트윈스,10475
