선수,연봉(만원),WAR,WAR당 연봉,팀,pid,연도
이준희,3000.0,-,-,KT 위즈,15522,2023
류현인,3000.0,-0.43,-6902,KT 위즈,15523,2023
황의준,3000.0,-,-,KT 위즈,15524,2023
정진호,3000.0,-,-,KT 위즈,15525,2023
이준명,3000.0,-,-,KT 위즈,15526,2023
강건,3000.0,0.16,19023,KT 위즈,15527,2023
백현수,3000.0,-,-,KT 위즈,15616,2023
이동관,3000.0,-,-,KT 위즈,15617,2023
정우성,3000.0,-,-,KT 위즈,15618,2023
최정태,3000.0,-,-,KT 위즈,15619,2023
한민우,3000.0,-,-,KT 위즈,16144,2023
구자욱,200000.0,5.44,36791,삼성 라이온즈,10892,2023
오승환,140000.0,0.77,182641,삼성 라이온즈,10367,2023
피렐라,120000.0,0.70,171965,삼성 라이온즈,14757,2023
뷰캐넌,110000.0,6.31,17428,삼성 라이온즈,14617,2023
수아레즈,90000.0,2.52,35762,삼성 라이온즈,15001,2023
강민호,60000.0,2.61,22999,삼성 라이온즈,10232,2023
와이드너,59800.0,1.71,34903,삼성 라이온즈,15536,2023
오재일,50000.0,0.99,50317,삼성 라이온즈,10400,2023
백정현,40000.0,3.09,12953,삼성 라이온즈,10363,2023
원태인,35000.0,4.48,7820,삼성 라이온즈,14113,2023
우규민,25000.0,0.15,164780,삼성 라이온즈,10523,2023
김태훈,18000.0,-0.62,-28892,삼성 라이온즈,10871,2023
김지찬,16000.0,2.46,6513,삼성 라이온즈,14618,2023
류지혁,15500.0,0.38,41156,삼성 라이온즈,10894,2023
강한울,15000.0,-0.16,-95223,삼성 라이온즈,11255,2023
최채흥,15000.0,0.21,73083,삼성 라이온즈,13156,2023
최지광,14000.0,-0.12,-116044,삼성 라이온즈,12934,2023
이승현,12000.0,0.55,21832,삼성 라이온즈,10527,2023
김헌곤,12000.0,-0.18,-65249,삼성 라이온즈,10640,2023
김동엽,9000.0,0.03,259899,삼성 라이온즈,12548,2023
장필준,8000.0,-0.26,-30359,삼성 라이온즈,11404,2023
이승현,8000.0,0.05,166778,삼성 라이온즈,14798,2023
김현준,8000.0,1.24,6431,삼성 라이온즈,14867,2023
이상민,7500.0,-0.20,-37130,삼성 라이온즈,11169,2023
김재성,7500.0,0.27,27365,삼성 라이온즈,11344,2023
김대우,7000.0,0.29,23829,삼성 라이온즈,10685,2023
