Rank,Name,Team,Sort▼,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR▼
175,김유성,25 P,-0.07,6,4,2,0,0,0,0,2,0,0,15.1,14,14,12.6,75,15,2,0,2,13,3,0,19,0,0,1,8.22,8.22,7.4,7.33,5.63,1.83,-0.07
176,함덕주,25 P,-0.08,4,0,4,1,0,0,0,0,0,0,3.0,5,5,3.3,15,2,1,0,0,5,0,0,3,0,0,1,15.0,15.0,9.9,10.66,6.67,2.33,-0.08
177,윤산흠,25 P,-0.08,2,0,2,1,0,0,0,0,0,0,1.1,2,2,2.0,9,4,2,0,0,1,0,0,1,0,1,1,13.5,13.5,13.5,14.01,4.36,3.75,-0.08
178,정세영,25 P,-0.08,3,0,3,1,0,0,0,0,0,0,2.0,2,3,3.0,14,6,2,0,0,1,0,0,0,1,0,1,9.0,13.5,13.5,13.47,5.44,3.5,-0.08
179,김종운,25 P,-0.08,2,0,2,2,0,0,0,0,0,0,1.2,1,3,3.0,7,2,0,0,2,0,0,0,2,1,0,0,5.4,16.2,16.2,15.88,15.12,1.2,-0.08
180,한차현,25 P,-0.09,2,0,2,1,0,0,0,0,0,0,1.2,3,3,3.0,11,4,0,0,0,2,0,0,1,0,0,1,16.2,16.2,16.2,15.88,6.18,3.6,-0.09
181,김재원,25 P,-0.09,4,0,4,3,0,0,0,0,0,0,4.1,5,5,5.2,24,3,1,0,0,8,1,0,4,0,0,3,10.38,10.38,10.8,10.3,8.17,2.54,-0.09
182,신영우,25 P,-0.09,4,2,2,1,0,0,0,2,0,0,8.0,7,8,7.8,37,4,1,0,1,9,3,0,11,0,0,1,7.88,9.0,8.78,8.78,6.69,1.63,-0.09
183,김정우,25 P,-0.09,6,0,6,3,0,0,0,0,0,0,8.1,5,6,7.2,44,12,2,0,0,4,1,0,5,2,0,1,5.4,6.48,7.78,8.38,4.26,1.92,-0.09
184,이준영,25 P,-0.1,36,0,36,5,0,0,3,0,0,6,22.0,11,11,15.15,94,25,8,0,3,8,0,2,21,2,0,0,4.5,4.5,6.2,6.29,4.09,1.5,-0.1
