,Name,Team,WAAwithPOS,G_x,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,pid,WAR,G_y,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,연봉(만원)
285,김병휘,23 2B,-0.021,10,6,55.0,28,14,13,1,0.964,4.418,-0.17,0.0,-0.35,0.17,0.0,,0.0,0.0,-0.35,-5.04,0.144,-0.206,-0.036,145777,-0.27,10,-0.24,-0.04,21,21,21,0,3,1,0,0,4,1,0,0,0,0,0,8,0,0,0,0.143,0.143,0.19,0.333,-0.038,-33.7,3200
286,이병규,23 1B,0.045,5,3,25.0,23,22,1,0,1.0,8.28,0.57,0.0,0.04,0.0,0.0,,0.0,0.0,0.62,17.856,-0.176,0.444,0.063,128597,-0.07,7,-0.13,0.06,17,17,17,3,4,0,0,0,4,2,0,0,0,0,0,4,0,0,0,0.235,0.235,0.235,0.47,0.016,14.2,3500
287,채은성,23 1B,-0.658,99,90,774.0,611,574,32,5,0.992,7.047,-2.52,0.41,0.44,0.0,0.0,,0.0,0.0,-1.54,-2.24,-4.91,-6.45,-0.157,112159,1.79,137,1.95,-0.16,596,593,521,71,137,17,0,23,223,84,0,0,52,20,8,102,16,0,3,0.263,0.351,0.428,0.779,0.138,117.0,180000
288,주성원,23 RF,0.004,21,20,144.0,38,35,2,1,0.974,2.312,1.4,-0.67,-0.22,0.0,0.0,,0.0,0.0,0.51,3.497,-0.468,0.042,0.052,141337,-0.45,25,-0.5,0.05,72,71,69,7,15,2,1,0,19,2,0,0,1,0,0,18,1,1,1,0.217,0.225,0.275,0.5,0.027,23.3,3100
289,박찬혁,23 LF,-0.091,29,26,218.0,53,51,1,1,0.981,2.147,-0.41,0.07,0.39,0.0,0.0,,0.0,0.0,0.04,0.199,-0.935,-0.895,0.004,150687,-0.83,48,-0.83,0.0,167,167,154,13,31,7,0,1,41,8,0,0,10,3,0,41,1,0,0,0.201,0.263,0.266,0.529,0.051,45.0,4200
290,도슨,23 CF,-0.582,48,45,390.0,106,102,0,4,0.962,2.354,-3.4,-0.52,-1.41,0.0,0.0,,0.0,0.0,-5.33,-15.99,-0.376,-5.706,-0.544,156527,1.71,57,2.25,-0.54,261,261,229,37,77,14,2,3,104,29,9,2,18,9,0,41,3,0,5,0.336,0.398,0.454,0.852,0.169,147.0,8500
291,김휘집,23 SS,-0.062,117,99,873.0,352,121,213,18,0.949,3.443,-6.68,0.0,0.06,2.28,0.0,,0.0,0.0,-4.26,-5.243,3.656,-0.604,-0.435,147857,1.89,110,2.32,-0.43,435,429,369,46,92,22,0,8,138,51,0,0,48,5,0,97,8,6,7,0.249,0.338,0.374,0.712,0.119,102.5,7400
292,전병우,23 1B,-0.002,38,11,152.0,156,144,10,2,0.987,9.118,0.31,0.0,0.28,0.37,0.0,,0.0,0.0,1.02,3.865,-1.044,-0.024,0.104,114227,-0.2,41,-0.3,0.1,75,73,62,6,9,3,0,1,15,6,0,0,10,1,0,28,0,2,0,0.145,0.274,0.242,0.516,0.058,50.2,8000
293,김수환,23 1B,-0.332,43,25,222.0,205,194,10,1,0.995,8.27,-1.66,0.0,-0.09,0.0,0.0,,0.0,0.0,-1.49,-4.99,-1.76,-3.25,-0.152,130967,-0.18,50,-0.02,-0.15,114,113,97,8,21,4,0,2,31,15,0,0,11,4,0,36,1,1,1,0.216,0.319,0.32,0.639,0.097,82.8,4500
294,이용규,23 LF,-0.327,37,30,256.0,53,53,0,0,1.0,1.863,-1.94,-0.6,0.45,0.0,0.0,,0.0,0.0,-2.09,-8.134,-1.115,-3.205,-0.213,100357,-0.46,50,-0.25,-0.21,178,176,154,19,36,0,3,0,42,11,2,1,19,1,0,22,3,2,2,0.234,0.318,0.273,0.591,0.08,70.2,30000
